id,title,article,start_year,start_month,country,region,region_group,category,peak_views,total_views,eff_duration,days_above_10,tail_daily,peak_date,gold_words
event_2022_world_snooker_championship,2022 World Snooker Championship,2022_World_Snooker_Championship,2022,4,United Kingdom,Western Europe,Western Europe,sports,103643,1568234,15.13,32,424.3,20220502,189
event_2022_italian_general_election,2022 Italian general election,2022_Italian_general_election,2022,9,Italy,Western Europe,Western Europe,politics_elections,299175,1489307,4.98,6,938.3,20220926,193
event_2023_men_s_fih_hockey_world_cup,2023 Men's FIH Hockey World Cup,2023_Men's_FIH_Hockey_World_Cup,2023,1,India,South Asia,South & Southeast Asia,sports,141844,1469669,10.36,21,807.2,20230113,100
event_2021_nba_playoffs,2021 NBA playoffs,2021_NBA_playoffs,2021,5,United States,North America,Anglo-America & Oceania,sports,37514,1456239,38.82,94,2718.2,20210517,195
event_bucha_massacre,Bucha massacre,Bucha_massacre,2022,3,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,conflict_terrorism,171195,1383888,8.08,9,1650.2,20220405,192
event_swimming_at_the_2020_summer_olympics,Swimming at the 2020 Summer Olympics,Swimming_at_the_2020_Summer_Olympics,2021,7,Japan,East Asia,East Asia,sports,121725,1383196,11.36,17,582.1,20210729,92
event_2023_argentine_general_election,2023 Argentine general election,2023_Argentine_general_election,2023,10,Argentina,Latin America,Latin America,politics_elections,170433,1313048,7.7,9,535.2,20231120,193
event_2022_malaysian_general_election,2022 Malaysian general election,2022_Malaysian_general_election,2022,11,Malaysia,Southeast Asia,South & Southeast Asia,politics_elections,270539,1306837,4.83,6,399.7,20221119,198
event_coronation_of_charles_iii_and_camilla,Coronation of Charles III and Camilla,Coronation_of_Charles_III_and_Camilla,2023,5,United Kingdom,Western Europe,Western Europe,royalty_ceremony,225953,1291813,5.72,11,962.7,20230506,172
event_2023_fifa_u_17_world_cup,2023 FIFA U-17 World Cup,2023_FIFA_U-17_World_Cup,2023,11,Indonesia,Southeast Asia,South & Southeast Asia,sports,82437,1280023,15.53,25,395.2,20231117,193
event_2021_suez_canal_obstruction,2021 Suez Canal obstruction,2021_Suez_Canal_obstruction,2021,3,Egypt,Middle East & North Africa,Middle East & Africa,accident_disaster,150343,1230405,8.18,11,1216.3,20210329,163
event_united_states_at_the_2020_summer_olympics,United States at the 2020 Summer Olympics,United_States_at_the_2020_Summer_Olympics,2021,7,Japan,East Asia,East Asia,sports,87286,1228330,14.07,18,200.4,20210725,193
event_2022_swedish_general_election,2022 Swedish general election,2022_Swedish_general_election,2022,9,Sweden,Western Europe,Western Europe,politics_elections,154925,1184728,7.65,14,717.8,20220912,198
event_2023_g20_new_delhi_summit,2023 G20 New Delhi summit,2023_G20_New_Delhi_summit,2023,9,India,South Asia,South & Southeast Asia,politics_elections,107376,1184684,11.03,19,387.1,20230909,44
event_2021_peruvian_general_election,2021 Peruvian general election,2021_Peruvian_general_election,2021,4,Peru,Latin America,Latin America,politics_elections,177564,1180975,6.65,12,288.7,20210607,185
event_world_chess_championship_2021,World Chess Championship 2021,World_Chess_Championship_2021,2021,11,United Arab Emirates,Middle East & North Africa,Middle East & Africa,sports,56489,1180071,20.89,27,500.5,20211210,184
event_2023_uefa_champions_league_final,2023 UEFA Champions League final,2023_UEFA_Champions_League_final,2023,6,Turkey,Middle East & North Africa,Middle East & Africa,sports,201136,1172912,5.83,5,2565.8,20230610,193
event_platinum_jubilee_of_elizabeth_ii,Platinum Jubilee of Elizabeth II,Platinum_Jubilee_of_Elizabeth_II,2022,2,United Kingdom,Western Europe,Western Europe,royalty_ceremony,76776,1132183,14.75,27,600.2,20220603,194
event_2021_israeli_legislative_election,2021 Israeli legislative election,2021_Israeli_legislative_election,2021,3,Israel,Middle East & North Africa,Middle East & Africa,politics_elections,101351,1126315,11.11,25,442.1,20210324,69
event_2022_fifa_world_cup_final,2022 FIFA World Cup final,2022_FIFA_World_Cup_final,2022,12,Qatar,Middle East & North Africa,Middle East & Africa,sports,35012,1116740,31.9,54,3747.5,20221220,172
event_2023_rajasthan_legislative_assembly_election,2023 Rajasthan Legislative Assembly election,2023_Rajasthan_Legislative_Assembly_election,2023,11,India,South Asia,South & Southeast Asia,politics_elections,180140,1112006,6.17,10,430.5,20231203,86
event_seoul_halloween_crowd_crush,Seoul Halloween crowd crush,Seoul_Halloween_crowd_crush,2022,10,South Korea,East Asia,East Asia,accident_disaster,135940,1087097,8.0,8,1441.9,20221030,190
event_2021_fifa_arab_cup,2021 FIFA Arab Cup,2021_FIFA_Arab_Cup,2021,11,Qatar,Middle East & North Africa,Middle East & Africa,sports,62553,1042934,16.67,25,343.0,20211207,199
event_death_and_funeral_of_prince_philip_duke_of_edinburgh,"Death and funeral of Prince Philip, Duke of Edinburgh","Death_and_funeral_of_Prince_Philip,_Duke_of_Edinburgh",2021,4,United Kingdom,Western Europe,Western Europe,royalty_ceremony,289444,1042715,3.6,6,765.3,20210409,197
event_acquisition_of_twitter_by_elon_musk,Acquisition of Twitter by Elon Musk,Acquisition_of_Twitter_by_Elon_Musk,2022,4,United States,North America,Anglo-America & Oceania,business_tech,77351,1038358,13.42,32,1276.0,20220426,189
event_2021_london_mayoral_election,2021 London mayoral election,2021_London_mayoral_election,2021,5,United Kingdom,Western Europe,Western Europe,politics_elections,114920,1026411,8.93,15,565.8,20210509,178
event_2022_israeli_legislative_election,2022 Israeli legislative election,2022_Israeli_legislative_election,2022,11,Israel,Middle East & North Africa,Middle East & Africa,politics_elections,118410,965662,8.16,9,2141.5,20221102,193
event_red_sea_crisis,Red Sea crisis,Red_Sea_crisis,2023,10,Yemen,Middle East & North Africa,Middle East & Africa,conflict_terrorism,19411,929299,47.87,132,1635.4,20240112,183
event_2022_french_legislative_election,2022 French legislative election,2022_French_legislative_election,2022,6,France,Western Europe,Western Europe,politics_elections,124694,881513,7.07,11,649.5,20220620,137
event_2021_chilean_general_election,2021 Chilean general election,2021_Chilean_general_election,2021,11,Chile,Latin America,Latin America,politics_elections,81825,647597,7.91,9,427.0,20211220,193
event_2023_sea_games,2023 SEA Games,2023_SEA_Games,2023,5,Cambodia,Southeast Asia,South & Southeast Asia,sports,122474,641029,5.23,6,212.1,20230516,183
event_assassination_of_jovenel_mo_se,Assassination of Jovenel Moïse,Assassination_of_Jovenel_Moïse,2021,7,Haiti,Latin America,Latin America,crime_legal,107690,585557,5.44,7,281.0,20210707,167
event_surfside_condominium_collapse,Surfside condominium collapse,Surfside_condominium_collapse,2021,6,United States,North America,Anglo-America & Oceania,accident_disaster,12131,575378,47.43,232,1744.1,20210727,180
event_2021_japanese_general_election,2021 Japanese general election,2021_Japanese_general_election,2021,10,Japan,East Asia,East Asia,politics_elections,51486,538718,10.46,13,345.4,20211031,194
event_2023_chinese_balloon_incident,2023 Chinese balloon incident,2023_Chinese_balloon_incident,2023,1,United States,North America,Anglo-America & Oceania,conflict_terrorism,47416,534637,11.28,13,874.1,20230213,197
event_2022_pakistan_super_league,2022 Pakistan Super League,2022_Pakistan_Super_League,2022,1,Pakistan,South Asia,South & Southeast Asia,sports,14246,455253,31.96,62,527.3,20220127,196
event_hurricane_fiona,Hurricane Fiona,Hurricane_Fiona,2022,9,Puerto Rico,Latin America,Latin America,natural_disaster,26364,454348,17.23,24,473.6,20220924,176
event_2021_european_floods,2021 European floods,2021_European_floods,2021,7,International,Western Europe,Western Europe,natural_disaster,53136,446267,8.4,11,188.8,20210716,180
event_2023_united_nations_climate_change_conference,2023 United Nations Climate Change Conference,2023_United_Nations_Climate_Change_Conference,2023,11,United Arab Emirates,Middle East & North Africa,Middle East & Africa,science_space,25379,439742,17.33,28,340.0,20231214,167
event_2022_saskatchewan_stabbings,2022 Saskatchewan stabbings,2022_Saskatchewan_stabbings,2022,9,Canada,North America,Anglo-America & Oceania,crime_legal,99086,430529,4.35,7,121.7,20220905,184
event_cyclone_tauktae,Cyclone Tauktae,Cyclone_Tauktae,2021,5,India,South Asia,South & Southeast Asia,natural_disaster,23446,425769,18.16,35,214.8,20210517,177
event_2021_western_north_america_heat_wave,2021 Western North America heat wave,2021_Western_North_America_heat_wave,2021,6,International,North America,Anglo-America & Oceania,natural_disaster,52709,418387,7.94,10,370.5,20210630,180
event_2023_turkish_parliamentary_election,2023 Turkish parliamentary election,2023_Turkish_parliamentary_election,2023,5,Turkey,Middle East & North Africa,Middle East & Africa,politics_elections,76478,411736,5.38,8,487.6,20230515,188
event_2023_european_games,2023 European Games,2023_European_Games,2023,6,Poland,Eastern Europe & Russia,Eastern Europe & Russia,sports,28496,410855,14.42,17,160.8,20230625,69
event_belgrade_school_shooting,Belgrade school shooting,Belgrade_school_shooting,2023,5,Serbia,Eastern Europe & Russia,Eastern Europe & Russia,crime_legal,4940,394394,79.84,341,1204.2,20230702,200
event_2023_pan_american_games,2023 Pan American Games,2023_Pan_American_Games,2023,10,Chile,Latin America,Latin America,sports,16021,389809,24.33,46,714.1,20231105,122
event_2021_kabul_airport_attack,2021 Kabul airport attack,2021_Kabul_airport_attack,2021,8,Afghanistan,South Asia,South & Southeast Asia,conflict_terrorism,64983,378246,5.82,13,217.5,20210828,161
event_2022_united_nations_climate_change_conference,2022 United Nations Climate Change Conference,2022_United_Nations_Climate_Change_Conference,2022,11,Egypt,Middle East & North Africa,Middle East & Africa,politics_elections,22816,364936,15.99,28,280.4,20221107,141
event_2023_south_american_u_20_championship,2023 South American U-20 Championship,2023_South_American_U-20_Championship,2023,1,Colombia,Latin America,Latin America,sports,17794,354552,19.93,32,95.6,20230124,194
event_2020_summer_olympics_opening_ceremony,2020 Summer Olympics opening ceremony,2020_Summer_Olympics_opening_ceremony,2021,7,Japan,East Asia,East Asia,sports,74654,350109,4.69,9,67.3,20210723,174
event_2023_israeli_judicial_reform_protests,2023 Israeli judicial reform protests,2023_Israeli_judicial_reform_protests,2023,1,Israel,Middle East & North Africa,Middle East & Africa,civil_unrest,29341,347820,11.85,32,355.2,20230327,176
event_september_2022_armenia_azerbaijan_clashes,September 2022 Armenia–Azerbaijan clashes,September_2022_Armenia–Azerbaijan_clashes,2022,9,Armenia,Central Asia & Caucasus,South & Southeast Asia,conflict_terrorism,55162,341229,6.19,8,164.1,20220915,189
event_2022_crimean_bridge_explosion,2022 Crimean Bridge explosion,2022_Crimean_Bridge_explosion,2022,10,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,conflict_terrorism,51604,329058,6.38,13,207.0,20221008,190
event_2021_russian_protests,2021 Russian protests,2021_Russian_protests,2021,1,Russia,Eastern Europe & Russia,Eastern Europe & Russia,civil_unrest,35146,324508,9.23,16,186.1,20210124,180
event_2022_russian_mobilization,2022 Russian mobilization,2022_Russian_mobilization,2022,9,Russia,Eastern Europe & Russia,Eastern Europe & Russia,politics_elections,22845,311661,13.64,15,294.5,20220922,177
event_2023_jacksonville_shooting,2023 Jacksonville shooting,2023_Jacksonville_shooting,2023,8,United States,North America,Anglo-America & Oceania,conflict_terrorism,41795,308708,7.39,5,593.1,20230828,66
event_2022_winter_paralympics,2022 Winter Paralympics,2022_Winter_Paralympics,2022,3,China,East Asia,East Asia,sports,37791,307813,8.15,14,124.7,20220304,192
event_2023_bulgarian_parliamentary_election,2023 Bulgarian parliamentary election,2023_Bulgarian_parliamentary_election,2023,4,Bulgaria,Eastern Europe & Russia,Eastern Europe & Russia,politics_elections,41869,298123,7.12,6,285.6,20230403,146
event_karate_at_the_2020_summer_olympics,Karate at the 2020 Summer Olympics,Karate_at_the_2020_Summer_Olympics,2021,8,Japan,East Asia,East Asia,sports,60608,293060,4.84,9,102.8,20210805,183
event_2022_mediterranean_games,2022 Mediterranean Games,2022_Mediterranean_Games,2022,6,Algeria,Middle East & North Africa,Middle East & Africa,sports,22355,282305,12.63,15,78.4,20220701,110
event_plymouth_shooting,Plymouth shooting,Plymouth_shooting,2021,8,United Kingdom,Western Europe,Western Europe,crime_legal,13736,280247,20.4,34,901.1,20210814,62
event_2022_covid_19_protests_in_china,2022 COVID-19 protests in China,2022_COVID-19_protests_in_China,2022,11,China,East Asia,East Asia,civil_unrest,36523,277052,7.59,12,164.4,20221129,198
event_bankruptcy_of_ftx,Bankruptcy of FTX,Bankruptcy_of_FTX,2022,11,Bahamas,Latin America,Latin America,business_tech,10597,266817,25.18,59,679.0,20221213,199
event_tornado_outbreak_of_march_31_april_1_2023,"Tornado outbreak of March 31 – April 1, 2023","Tornado_outbreak_of_March_31_–_April_1,_2023",2023,3,United States,North America,Anglo-America & Oceania,natural_disaster,42500,265730,6.25,7,190.8,20230402,191
event_2021_nobel_peace_prize,2021 Nobel Peace Prize,2021_Nobel_Peace_Prize,2021,10,Norway,Western Europe,Western Europe,entertainment_culture,17466,249408,14.28,16,190.9,20211008,158
event_2023_acc_under_19_asia_cup,2023 ACC Under-19 Asia Cup,2023_ACC_Under-19_Asia_Cup,2023,12,United Arab Emirates,Middle East & North Africa,Middle East & Africa,sports,30767,244808,7.96,15,116.4,20231210,108
event_2021_cuban_protests,2021 Cuban protests,2021_Cuban_protests,2021,7,Cuba,Latin America,Latin America,civil_unrest,27928,241785,8.66,12,165.8,20210714,199
event_kazan_school_shooting,Kazan school shooting,Kazan_school_shooting,2021,5,Russia,Eastern Europe & Russia,Eastern Europe & Russia,crime_legal,41456,240359,5.8,10,166.0,20210512,72
event_chinese_taipei_at_the_2020_summer_olympics,Chinese Taipei at the 2020 Summer Olympics,Chinese_Taipei_at_the_2020_Summer_Olympics,2021,7,Japan,East Asia,East Asia,sports,25097,234705,9.35,18,33.2,20210801,90
event_2021_22_major_league_baseball_lockout,2021–22 Major League Baseball lockout,2021–22_Major_League_Baseball_lockout,2021,12,United States,North America,Anglo-America & Oceania,business_tech,12039,233073,19.36,53,92.9,20220302,194
event_death_and_funeral_of_pope_benedict_xvi,Death and funeral of Pope Benedict XVI,Death_and_funeral_of_Pope_Benedict_XVI,2022,12,Vatican City,Western Europe,Western Europe,royalty_ceremony,23280,227399,9.77,15,233.0,20221231,152
event_2023_brovary_helicopter_crash,2023 Brovary helicopter crash,2023_Brovary_helicopter_crash,2023,1,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,accident_disaster,21122,212553,10.06,13,138.1,20230118,74
event_2023_montenegrin_presidential_election,2023 Montenegrin presidential election,2023_Montenegrin_presidential_election,2023,3,Montenegro,Eastern Europe & Russia,Eastern Europe & Russia,politics_elections,20974,211652,10.09,17,60.7,20230403,188
event_2021_russian_grand_prix,2021 Russian Grand Prix,2021_Russian_Grand_Prix,2021,9,Russia,Eastern Europe & Russia,Eastern Europe & Russia,sports,23466,204710,8.72,11,248.6,20210926,167
event_2021_icelandic_parliamentary_election,2021 Icelandic parliamentary election,2021_Icelandic_parliamentary_election,2021,9,Iceland,Western Europe,Western Europe,politics_elections,42703,204628,4.79,4,155.9,20210926,81
event_2023_dublin_riot,2023 Dublin riot,2023_Dublin_riot,2023,11,Ireland,Western Europe,Western Europe,civil_unrest,25300,198960,7.86,13,129.6,20231125,192
event_2021_northern_ireland_riots,2021 Northern Ireland riots,2021_Northern_Ireland_riots,2021,3,United Kingdom,Western Europe,Western Europe,civil_unrest,49790,196390,3.94,5,111.1,20210409,112
event_2022_peruvian_self_coup_attempt,2022 Peruvian self-coup attempt,2022_Peruvian_self-coup_attempt,2022,12,Peru,Latin America,Latin America,politics_elections,26013,183478,7.05,14,101.7,20221208,193
event_2022_bronx_apartment_fire,2022 Bronx apartment fire,2022_Bronx_apartment_fire,2022,1,United States,North America,Anglo-America & Oceania,accident_disaster,27676,173651,6.27,13,69.6,20220111,188
event_2023_venezuelan_referendum,2023 Venezuelan referendum,2023_Venezuelan_referendum,2023,12,Venezuela,Latin America,Latin America,politics_elections,31628,168208,5.32,12,33.6,20231204,199
event_2021_indian_air_force_mil_mi_17_crash,2021 Indian Air Force Mil Mi-17 crash,2021_Indian_Air_Force_Mil_Mi-17_crash,2021,12,India,South Asia,South & Southeast Asia,accident_disaster,47625,164719,3.46,6,98.5,20211209,78
event_2023_paraguayan_general_election,2023 Paraguayan general election,2023_Paraguayan_general_election,2023,4,Paraguay,Latin America,Latin America,politics_elections,24845,162856,6.55,8,83.8,20230501,105
event_tyre_nichols_protests,Tyre Nichols protests,Tyre_Nichols_protests,2023,1,United States,North America,Anglo-America & Oceania,civil_unrest,31581,155364,4.92,12,21.2,20230128,102
event_cyclone_batsirai,Cyclone Batsirai,Cyclone_Batsirai,2022,1,Madagascar,Sub-Saharan Africa,Middle East & Africa,natural_disaster,15717,154914,9.86,19,55.5,20220208,194
event_2023_nottingham_attacks,2023 Nottingham attacks,2023_Nottingham_attacks,2023,6,United Kingdom,Western Europe,Western Europe,conflict_terrorism,11772,153774,13.06,23,396.2,20230616,177
event_2023_emilia_romagna_floods,2023 Emilia-Romagna floods,2023_Emilia-Romagna_floods,2023,5,Italy,Western Europe,Western Europe,natural_disaster,22843,148486,6.5,14,57.0,20230518,126
event_2021_fukushima_earthquake,2021 Fukushima earthquake,2021_Fukushima_earthquake,2021,2,Japan,East Asia,East Asia,natural_disaster,10548,147830,14.01,16,218.6,20210214,196
event_2022_r_mqi_fire,2022 Ürümqi fire,2022_Ürümqi_fire,2022,11,China,East Asia,East Asia,accident_disaster,31961,143814,4.5,11,36.4,20221128,124
event_acquisition_of_credit_suisse_by_ubs,Acquisition of Credit Suisse by UBS,Acquisition_of_Credit_Suisse_by_UBS,2023,3,Switzerland,Western Europe,Western Europe,business_tech,20578,143549,6.98,10,132.3,20230321,171
event_2023_cleveland_texas_shooting,"2023 Cleveland, Texas shooting","2023_Cleveland,_Texas_shooting",2023,4,United States,North America,Anglo-America & Oceania,crime_legal,20159,141377,7.01,10,33.4,20230507,44
event_mexico_city_metro_overpass_collapse,Mexico City Metro overpass collapse,Mexico_City_Metro_overpass_collapse,2021,5,Mexico,Latin America,Latin America,accident_disaster,25763,138236,5.37,9,84.9,20210504,182
event_2021_toronto_international_film_festival,2021 Toronto International Film Festival,2021_Toronto_International_Film_Festival,2021,9,Canada,North America,Anglo-America & Oceania,entertainment_culture,4155,135880,32.7,63,178.2,20210919,145
event_2022_peshawar_mosque_attack,2022 Peshawar mosque attack,2022_Peshawar_mosque_attack,2022,3,Pakistan,South Asia,South & Southeast Asia,conflict_terrorism,19572,135788,6.94,14,130.4,20220307,62
event_2022_state_of_the_union_address,2022 State of the Union Address,2022_State_of_the_Union_Address,2022,3,United States,North America,Anglo-America & Oceania,politics_elections,36776,125157,3.4,4,434.3,20220302,125
event_2023_pakistani_census,2023 Pakistani census,2023_Pakistani_census,2023,3,Pakistan,South Asia,South & Southeast Asia,politics_elections,2228,121682,54.61,269,341.4,20230806,145
event_owo_church_attack,Owo church attack,Owo_church_attack,2022,6,Nigeria,Sub-Saharan Africa,Middle East & Africa,conflict_terrorism,25204,121184,4.81,13,37.4,20220608,57
event_2023_haryana_riots,2023 Haryana riots,2023_Haryana_riots,2023,7,India,South Asia,South & Southeast Asia,civil_unrest,16348,120372,7.36,10,91.0,20230803,188
event_2023_rugby_world_cup_final,2023 Rugby World Cup final,2023_Rugby_World_Cup_final,2023,10,France,Western Europe,Western Europe,sports,7972,114382,14.35,17,205.2,20231029,121
event_2021_henan_floods,2021 Henan floods,2021_Henan_floods,2021,7,China,East Asia,East Asia,natural_disaster,7478,109972,14.71,19,58.6,20210722,123
event_2023_calabria_migrant_boat_disaster,2023 Calabria migrant boat disaster,2023_Calabria_migrant_boat_disaster,2023,2,Italy,Western Europe,Western Europe,accident_disaster,17492,104560,5.98,14,21.3,20230227,110
event_creeslough_explosion,Creeslough explosion,Creeslough_explosion,2022,10,Ireland,Western Europe,Western Europe,accident_disaster,12705,101428,7.98,9,88.0,20221009,49
event_2023_union_square_riot,2023 Union Square riot,2023_Union_Square_riot,2023,8,United States,North America,Anglo-America & Oceania,civil_unrest,9546,95741,10.03,2,222.7,20231001,174
event_2023_eruption_of_mount_marapi,2023 eruption of Mount Marapi,2023_eruption_of_Mount_Marapi,2023,12,Indonesia,Southeast Asia,South & Southeast Asia,natural_disaster,28060,95085,3.39,8,33.3,20231206,49
event_2022_belarusian_constitutional_referendum,2022 Belarusian constitutional referendum,2022_Belarusian_constitutional_referendum,2022,2,Belarus,Eastern Europe & Russia,Eastern Europe & Russia,politics_elections,24628,91591,3.72,4,39.4,20220227,180
event_2021_israeli_presidential_election,2021 Israeli presidential election,2021_Israeli_presidential_election,2021,6,Israel,Middle East & North Africa,Middle East & Africa,politics_elections,16207,86783,5.35,7,50.5,20210602,191
event_2021_nrl_grand_final,2021 NRL Grand Final,2021_NRL_Grand_Final,2021,10,Australia,Oceania,Anglo-America & Oceania,sports,9762,85355,8.74,13,416.0,20211003,191
event_2021_greece_wildfires,2021 Greece wildfires,2021_Greece_wildfires,2021,8,Greece,Western Europe,Western Europe,natural_disaster,7657,82821,10.82,16,96.7,20210809,191
event_swimming_at_the_2020_summer_olympics_women_s_4_100_metre_med,Swimming at the 2020 Summer Olympics – Women's 4 × 100 metre medley relay,Swimming_at_the_2020_Summer_Olympics_–_Women's_4_×_100_metre_medley_relay,2021,7,Japan,East Asia,East Asia,sports,18923,80786,4.27,6,62.7,20210801,69
event_2023_v_league_1,2023 V.League 1,2023_V.League_1,2023,2,Vietnam,Southeast Asia,South & Southeast Asia,sports,1226,80304,65.5,269,118.0,20230203,113
event_2023_prague_shootings,2023 Prague shootings,2023_Prague_shootings,2023,12,Czech Republic,Western Europe,Western Europe,crime_legal,1125,79930,71.05,315,191.3,20240123,157
event_2021_maharashtra_floods,2021 Maharashtra floods,2021_Maharashtra_floods,2021,7,India,South Asia,South & Southeast Asia,natural_disaster,10598,77869,7.35,7,85.8,20210729,95
event_2023_grand_national,2023 Grand National,2023_Grand_National,2023,4,United Kingdom,Western Europe,Western Europe,sports,27738,76508,2.76,4,95.2,20230415,147
event_nahel_merzouk_riots,Nahel Merzouk riots,Nahel_Merzouk_riots,2023,6,France,Western Europe,Western Europe,civil_unrest,2433,74644,30.68,71,110.0,20231121,140
event_perm_state_university_shooting,Perm State University shooting,Perm_State_University_shooting,2021,9,Russia,Eastern Europe & Russia,Eastern Europe & Russia,crime_legal,8486,70801,8.34,8,100.6,20210920,45
event_2023_visit_by_joe_biden_to_ukraine,2023 visit by Joe Biden to Ukraine,2023_visit_by_Joe_Biden_to_Ukraine,2023,2,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,politics_elections,8242,70279,8.53,11,57.7,20230221,196
event_2021_uzbek_presidential_election,2021 Uzbek presidential election,2021_Uzbek_presidential_election,2021,10,Uzbekistan,Central Asia & Caucasus,South & Southeast Asia,politics_elections,5839,68784,11.78,17,43.2,20211025,161
