id,name,cohort,predicted_gender,confidence,namerank,h_index,cited_by_count,credential_country,institution,subfield
imo_khashayar_khosravi,Khashayar Khosravi,imo_gold,male,high,0.4835,,,Iran,,
imo_tae_gu_kang,Tae Gu Kang,imo_gold,ambiguous,east_asian_name,0.4051,,,Korea,,
imo_jiaoyang_huang,Jiaoyang Huang,imo_gold,ambiguous,east_asian_name,0.5265,,,China,,
imo_kazuhiro_hosaka,Kazuhiro Hosaka,imo_gold,male,high,0.3368,,,Japan,,
imo_hyun_sub_hwang,Hyun Sub Hwang,imo_gold,ambiguous,east_asian_name,0.3459,,,Korea,,
imo_shiro_imamura,Shiro Imamura,imo_gold,male,high,0.1562,,,Japan,,
imo_eric_larson,Eric Larson,imo_gold,male,high,0.6027,,,USA,,
imo_andrea_fogari,Andrea Fogari,imo_gold,female,high,0.3205,,,Italy,,
imo_andrew_elvey_price,Andrew Elvey Price,imo_gold,male,high,0.5265,,,Australia,,
imo_omer_cerrahoglu,Omer Cerrahoglu,imo_gold,male,high,0.3395,,,Romania,,
imo_phm_dc_hng,Phạm Đức Hùng,imo_gold,ambiguous,east_asian_name,0.4131,,,Vietnam,,
imo_vladimir_bragin,Vladimir Bragin,imo_gold,male,high,0.3608,,,Russia,,
imo_john_berman,John Berman,imo_gold,male,high,0.1695,,,USA,,
imo_bo_lin,Bo Lin,imo_gold,ambiguous,east_asian_name,0.3665,,,China,,
imo_sang_hoon_lee,Sang Hoon Lee,imo_gold,ambiguous,east_asian_name,0.3562,,,Korea,,
imo_marsel_matdinov,Marsel Matdinov,imo_gold,male,high,0.2189,,,Russia,,
imo_sureyya_emre_kurt,Süreyya Emre Kurt,imo_gold,ambiguous,unknown_to_detector,0.3592,,,Türkiye,,
imo_tak_wing_ching,Tak Wing Ching,imo_gold,ambiguous,androgynous,0.243,,,Hong Kong,,
imo_min_zhang,Min Zhang,imo_gold,ambiguous,east_asian_name,0.3084,,,China,,
imo_yikang_xiao,Yikang Xiao,imo_gold,ambiguous,east_asian_name,0.3992,,,China,,
imo_martin_vodicka,Martin Vodička,imo_gold,male,high,0.4597,,,Slovakia,,
imo_melih_ucer,Melih Üçer,imo_gold,male,high,0.4378,,,Türkiye,,
imo_piotr_suwara,Piotr Suwara,imo_gold,male,high,0.4208,,,Poland,,
imo_jun_su,Jun Su,imo_gold,male,medium,0.3538,,,China,,
imo_hunter_spink,Hunter Spink,imo_gold,male,medium,0.5568,,,Canada,,
imo_sanghun_song,Sanghun Song,imo_gold,ambiguous,east_asian_name,0.3803,,,Korea,,
imo_kanat_satylkhanov,Kanat Satylkhanov,imo_gold,male,high,0.4181,,,Kazakhstan,,
imo_nipun_pitimanaaree,Nipun Pitimanaaree,imo_gold,ambiguous,unknown_to_detector,0.4576,,,Thailand,,
imo_denis_ovchinnikov,Denis Ovchinnikov,imo_gold,male,high,0.2784,,,Kazakhstan,,
imo_evan_odorney,Evan O'Dorney,imo_gold,male,high,0.5416,,,USA,,
imo_zipei_nie,Zipei Nie,imo_gold,ambiguous,east_asian_name,0.4395,,,China,,
imo_nguyn_ngc_trung,Nguyễn Ngọc Trung,imo_gold,ambiguous,east_asian_name,0.3259,,,Vietnam,,
imo_janos_nagy,János Nagy,imo_gold,ambiguous,unknown_to_detector,0.2976,,,Hungary,,
imo_donat_nagy,Donát Nagy,imo_gold,male,high,0.3719,,,Hungary,,
imo_vasily_mokin,Vasily Mokin,imo_gold,male,high,0.2816,,,Russia,,
imo_li_lai,Li Lai,imo_gold,ambiguous,east_asian_name,0.3403,,,China,,
imo_jialun_li,Jialun Li,imo_gold,ambiguous,east_asian_name,0.4446,,,China,,
imo_bumsoo_kim,Bumsoo Kim,imo_gold,ambiguous,east_asian_name,0.3532,,,Korea,,
imo_nursultan_khadjimuratov,Nursultan Khadjimuratov,imo_gold,male,high,0.2362,,,Kazakhstan,,
imo_szymon_kanonowicz,Szymon Kanonowicz,imo_gold,male,high,0.2914,,,Poland,,
imo_junhwa_jung,Junhwa Jung,imo_gold,ambiguous,east_asian_name,0.4211,,,Korea,,
imo_stefan_adrian_ivanovici,Štefan Adrian Ivanovici,imo_gold,male,high,0.24,,,Romania,,
imo_shutaro_inoue,Shutaro Inoue,imo_gold,ambiguous,unknown_to_detector,0.2903,,,Japan,,
imo_shiangchih_hua,Shiang-Chih Hua,imo_gold,ambiguous,unknown_to_detector,0.3522,,,Taiwan,,
imo_xiaoyu_he,Xiaoyu He,imo_gold,ambiguous,east_asian_name,0.4062,,,USA,,
imo_benjamin_gunby,Benjamin Gunby,imo_gold,male,high,0.3008,,,USA,,
imo_luca_ghidelli,Luca Ghidelli,imo_gold,male,high,0.4768,,,Italy,,
imo_jose_gustavo_garcia_sulca,José Gustavo García Sulca,imo_gold,male,high,0.327,,,Peru,,
imo_mathias_bk_tejs_knudsen,Mathias Bæk Tejs Knudsen,imo_gold,male,high,0.5527,,,Denmark,,
imo_radu_bumbacea,Radu Bumbăcea,imo_gold,male,high,0.4188,,,Romania,,
imo_aaron_wan_yau_chong,Aaron Wan Yau Chong,imo_gold,ambiguous,east_asian_name,0.2576,,,Australia,,
imo_robin_cheng,Robin Cheng,imo_gold,ambiguous,east_asian_name,0.2951,,,Canada,,
imo_felix_drxler,Felix Dräxler,imo_gold,male,high,0.3603,,,Austria,,
imo_stanislav_erokhin,Stanislav Erokhin,imo_gold,male,high,0.313,,,Russia,,
imo_george_arzeno,George Arzeno,imo_gold,male,high,0.1408,,,Puerto Rico,,
imo_ariel_zylber,Ariel Zylber,imo_gold,male,high,0.3154,,,Argentina,,
imo_tianyou_zhou,Tianyou Zhou,imo_gold,ambiguous,east_asian_name,0.4151,,,China,,
imo_kensuke_yoshida,Kensuke Yoshida,imo_gold,male,high,0.2919,,,Japan,,
imo_bowen_yao,Bowen Yao,imo_gold,ambiguous,east_asian_name,0.4535,,,China,,
imo_wijit_yangjit,Wijit Yangjit,imo_gold,ambiguous,unknown_to_detector,0.2697,,,Thailand,,
imo_david_yang,David Yang,imo_gold,ambiguous,east_asian_name,0.4976,,,USA,,
imo_mengxi_wu,Mengxi Wu,imo_gold,ambiguous,east_asian_name,0.3189,,,China,,
imo_georgios_vlachos,Georgios Vlachos,imo_gold,male,high,0.3192,,,Greece,,
imo_miguel_martins_dos_santos,Miguel Martins Dos Santos,imo_gold,male,high,0.1928,,,Portugal,,
imo_kyrylo_myliarchyk,Kyrylo Myliarchyk,imo_gold,male,high,0.3803,,,Ukraine,,
imo_sung_gi_park,Sung Gi Park,imo_gold,ambiguous,east_asian_name,0.3862,,,Korea,,
imo_alexey_pakharev,Alexey Pakharev,imo_gold,male,high,0.3695,,,Russia,,
imo_mikhail_grigorev,Mikhail Grigorev,imo_gold,male,high,0.2065,,,Russia,,
imo_zichao_long,Zichao Long,imo_gold,ambiguous,east_asian_name,0.3732,,,China,,
imo_jeck_lim,Jeck Lim,imo_gold,ambiguous,east_asian_name,0.3754,,,Singapore,,
imo_jun_jie_joseph_kuan,Jun Jie Joseph Kuan,imo_gold,male,medium,0.3957,,,Singapore,,
imo_yau_wing_li,Yau Wing Li,imo_gold,ambiguous,east_asian_name,0.3035,,,Hong Kong,,
imo_mitchell_lee,Mitchell Lee,imo_gold,ambiguous,east_asian_name,0.4103,,,USA,,
imo_takuma_kitamura,Takuma Kitamura,imo_gold,male,high,0.3551,,,Japan,,
imo_zhaorong_jin,Zhaorong Jin,imo_gold,ambiguous,east_asian_name,0.3059,,,China,,
imo_teodor_jerzak,Teodor Jerzak,imo_gold,male,high,0.3205,,,Poland,,
imo_lin_chen,Lin Chen,imo_gold,ambiguous,east_asian_name,0.357,,,China,,
imo_raul_arturo_chavez_sarmiento,Raúl Arturo Chávez Sarmiento,imo_gold,male,high,0.4714,,,Peru,,
imo_jaewon_chang,Jaewon Chang,imo_gold,ambiguous,unknown_to_detector,0.2692,,,Korea,,
imo_andrew_carlotti,Andrew Carlotti,imo_gold,male,high,0.3478,,,United Kingdom,,
imo_wenyu_cao,Wenyu Cao,imo_gold,ambiguous,east_asian_name,0.3889,,,USA,,
imo_filip_borowiec,Filip Borowiec,imo_gold,male,high,0.4522,,,Poland,,
imo_andrea_bianchi,Andrea Bianchi,imo_gold,female,high,0.3295,,,Italy,,
imo_jie_jun_ang,Jie Jun Ang,imo_gold,ambiguous,androgynous,0.3568,,,Singapore,,
imo_ufuk_kanat,Ufuk Kanat,imo_gold,male,high,0.4054,,,Türkiye,,
imo_mojtaba_shokrian_zini,Mojtaba Shokrian Zini,imo_gold,male,high,0.3765,,,Iran,,
imo_so_min_mun,So Min Mun,imo_gold,ambiguous,east_asian_name,0.2327,,,DPR Korea,,
imo_hak_myong_mun,Hak Myong Mun,imo_gold,ambiguous,androgynous,0.2795,,,DPR Korea,,
imo_mehmet_sonmez,Mehmet Sönmez,imo_gold,male,high,0.2216,,,Türkiye,,
imo_zhuo_qun_alex_song,Zhuo Qun (Alex) Song,imo_gold,ambiguous,east_asian_name,0.5859,,,Canada,,
imo_how_si_yu,How Si Yu,imo_gold,ambiguous,east_asian_name,0.2511,,,Malaysia,,
imo_chong_hong_song,Chong Hong Song,imo_gold,ambiguous,east_asian_name,0.2235,,,DPR Korea,,
imo_akashnil_dutta,Akashnil Dutta,imo_gold,ambiguous,unknown_to_detector,0.397,,,India,,
imo_rom_dudkiewicz,Rom Dudkiewicz,imo_gold,ambiguous,unknown_to_detector,0.2922,,,Israel,,
imo_octav_dragoi,Octav Drăgoi,imo_gold,ambiguous,unknown_to_detector,0.4522,,,Romania,,
imo_yue_ding,Yue Ding,imo_gold,ambiguous,east_asian_name,0.2811,,,Singapore,,
imo_mina_dalirrooyfard,Mina Dalirrooyfard,imo_gold,female,high,0.3676,,,Iran,,
imo_chung_song_hong,Chung Song Hong,imo_gold,ambiguous,east_asian_name,0.2284,,,DPR Korea,,
imo_mehmet_efe_akengin,Mehmet Efe Akengin,imo_gold,male,high,0.4032,,,Türkiye,,
imo_james_aaronson,James Aaronson,imo_gold,male,high,0.3028,,,United Kingdom,,
imo_bobby_shen,Bobby Shen,imo_gold,ambiguous,east_asian_name,0.3122,,,USA,,
imo_dong_ryul_kim,Dong Ryul Kim,imo_gold,ambiguous,east_asian_name,0.3389,,,Korea,,
imo_haoyu_wang,Haoyu Wang,imo_gold,ambiguous,east_asian_name,0.3527,,,China,,
imo_hao_zuo,Hao Zuo,imo_gold,ambiguous,androgynous,0.4138,,,China,,
imo_hao_wu,Hao Wu,imo_gold,ambiguous,east_asian_name,0.3632,,,China,,
imo_yiyang_she,Yiyang She,imo_gold,ambiguous,androgynous,0.3022,,,China,,
imo_jingwen_chen,Jingwen Chen,imo_gold,ambiguous,east_asian_name,0.3049,,,China,,
imo_bogdan_stankov,Bogdan Stankov,imo_gold,male,high,0.3946,,,Bulgaria,,
imo_thomas_swayze,Thomas Swayze,imo_gold,male,high,0.187,,,USA,,
imo_ravi_jagadeeshan,Ravi Jagadeeshan,imo_gold,male,medium,0.3154,,,USA,,
imo_diego_alonso_roque_montoya,Diego Alonso Roque Montoya,imo_gold,male,high,0.3362,,,Mexico,,
imo_panagiotis_lolas,Panagiotis Lolas,imo_gold,male,high,0.4259,,,Greece,,
imo_jeroen_huijben,Jeroen Huijben,imo_gold,male,high,0.3849,,,Netherlands,,
imo_jetze_zoethout,Jetze Zoethout,imo_gold,male,high,0.3178,,,Netherlands,,
imo_rodrigo_sanches_angelo,Rodrigo Sanches Angelo,imo_gold,male,high,0.3465,,,Brazil,,
imo_pedram_safaee,Pedram Safaee,imo_gold,ambiguous,unknown_to_detector,0.3686,,,Iran,,
imo_alek_bedroya,Alek Bedroya,imo_gold,ambiguous,unknown_to_detector,0.1638,,,Iran,,
imo_debdyuti_banerjee,Debdyuti Banerjee,imo_gold,ambiguous,unknown_to_detector,0.3022,,,India,,
imo_prafulla_susil_dhariwal,Prafulla Susil Dhariwal,imo_gold,ambiguous,unknown_to_detector,0.34,,,India,,
imo_calvin_deng,Calvin Deng,imo_gold,ambiguous,east_asian_name,0.3826,,,Canada,,
imo_matthew_brennan,Matthew Brennan,imo_gold,male,high,0.4065,,,Canada,,
imo_dmitry_krachun,Dmitry Krachun,imo_gold,male,high,0.4422,,,Russia,,
imo_aleksandr_kalmynin,Aleksandr Kalmynin,imo_gold,male,high,0.3962,,,Russia,,
imo_daniil_kliuev,Daniil Kliuev,imo_gold,male,high,0.4608,,,Russia,,
imo_chong_luck_ryan_kor,Chong Luck Ryan Kor,imo_gold,ambiguous,androgynous,0.2427,,,Singapore,,
imo_pakawut_jiradilok,Pakawut Jiradilok,imo_gold,ambiguous,unknown_to_detector,0.5727,,,Thailand,,
imo_jirawat_anunrojwong,Jirawat Anunrojwong,imo_gold,ambiguous,unknown_to_detector,0.417,,,Thailand,,
imo_hi_dang_du,Hải Đăng Đậu,imo_gold,ambiguous,androgynous,0.4168,,,Vietnam,,
imo_turbat_enkhbayar,Turbat Enkhbayar,imo_gold,ambiguous,unknown_to_detector,0.2919,,,Mongolia,,
imo_hanwool_moon,Hanwool Moon,imo_gold,ambiguous,east_asian_name,0.3092,,,Korea,,
imo_sung_jin_park,Sung Jin Park,imo_gold,ambiguous,east_asian_name,0.3349,,,Korea,,
imo_tae_hwan_park,Tae Hwan Park,imo_gold,ambiguous,east_asian_name,0.2668,,,Korea,,
imo_brian_chen,Brian Chen,imo_gold,ambiguous,east_asian_name,0.1951,,,Taiwan,,
imo_domagoj_evid,Domagoj Ćevid,imo_gold,male,high,0.3841,,,Croatia,,
imo_kwang_choe,Kwang Choe,imo_gold,ambiguous,androgynous,0.3014,,,DPR Korea,,
imo_lingfu_zhang,Lingfu Zhang,imo_gold,ambiguous,east_asian_name,0.4354,,,China,,
imo_posheng_wu,Po-Sheng Wu,imo_gold,ambiguous,east_asian_name,0.4124,,,Taiwan,,
imo_victor_wang,Victor Wang,imo_gold,ambiguous,east_asian_name,0.4305,,,USA,,
imo_james_tao,James Tao,imo_gold,ambiguous,east_asian_name,0.3481,,,USA,,
imo_omri_nisan_solan,Omri Nisan Solan,imo_gold,male,high,0.4054,,,Israel,,
imo_stephen_sanjaya,Stephen Sanjaya,imo_gold,male,high,0.1797,,,Indonesia,,
imo_stpan_simsa,Štěpán Šimsa,imo_gold,male,high,0.427,,,Czech Republic,,
imo_mark_sellke,Mark Sellke,imo_gold,male,high,0.6349,,,USA,,
imo_lev_shabanov,Lev Shabanov,imo_gold,male,high,0.3303,,,Russia,,
imo_aliaksei_semchankau,Aliaksei Semchankau,imo_gold,male,high,0.5124,,,Belarus,,
imo_aref_sadeghi,Aref Sadeghi,imo_gold,male,high,0.3716,,,Iran,,
imo_yutao_liu,Yutao Liu,imo_gold,ambiguous,east_asian_name,0.4249,,,China,,
imo_xiao_liu,Xiao Liu,imo_gold,ambiguous,east_asian_name,0.2092,,,China,,
imo_tingchun_lin,Ting-Chun Lin,imo_gold,ambiguous,east_asian_name,0.4308,,,Taiwan,,
imo_yuxuan_liao,Yuxuan Liao,imo_gold,ambiguous,androgynous,0.3203,,,China,,
imo_jongwon_lee,Jongwon Lee,imo_gold,ambiguous,east_asian_name,0.4178,,,Korea,,
imo_jihyon_pak,Jihyon Pak,imo_gold,ambiguous,unknown_to_detector,0.267,,,DPR Korea,,
imo_miguel_miranda_ribeiro_moreira,Miguel Miranda Ribeiro Moreira,imo_gold,male,high,0.3235,,,Portugal,,
imo_se_hyun_ji,Se Hyun Ji,imo_gold,ambiguous,east_asian_name,0.2376,,,Korea,,
imo_eunsoo_jee,Eunsoo Jee,imo_gold,ambiguous,androgynous,0.253,,,Korea,,
imo_borna_vukorepa,Borna Vukorepa,imo_gold,ambiguous,unknown_to_detector,0.427,,,Croatia,,
imo_egor_voronetckii,Egor Voronetckii,imo_gold,male,high,0.3724,,,Russia,,
imo_andrey_volgin,Andrey Volgin,imo_gold,male,high,0.327,,,Russia,,
imo_anh_dc_v,Anh Đức Võ,imo_gold,ambiguous,east_asian_name,0.4349,,,Vietnam,,
imo_tun_huy_phm,Tuấn Huy Phạm,imo_gold,ambiguous,east_asian_name,0.433,,,Vietnam,,
imo_thnh_trung_cn_trn,Thành Trung Cấn Trần,imo_gold,ambiguous,east_asian_name,0.2605,,,Vietnam,,
imo_matei_mandache,Matei Mandache,imo_gold,male,high,0.3889,,,United Kingdom,,
imo_alexander_gunning,Alexander Gunning,imo_gold,male,high,0.4884,,,Australia,,
imo_arek_bedroya,Arek Bedroya,imo_gold,male,high,0.1924,,,Iran,,
imo_dario_ascari,Dario Ascari,imo_gold,male,high,0.2216,,,Italy,,
imo_chao_gu,Chao Gu,imo_gold,ambiguous,androgynous,0.3954,,,China,,
imo_vadym_kalashnykov,Vadym Kalashnykov,imo_gold,male,high,0.3754,,,Ukraine,,
imo_zarko_randelovi,Žarko Ranđelović,imo_gold,ambiguous,unknown_to_detector,0.4459,,,Serbia,,
icpc_bin_jin_2010,Bin Jin,icpc_world_finals_gold,ambiguous,east_asian_name,0.5654,,,China,,
icpc_zhao_zheng_2010,Zhao Zheng,icpc_world_finals_gold,ambiguous,east_asian_name,0.527,,,China,,
icpc_zhuojie_wu_2010,Zhuojie Wu,icpc_world_finals_gold,ambiguous,east_asian_name,0.6078,,,China,,
icpc_jialin_ouyang_2011,Jialin Ouyang,icpc_world_finals_gold,ambiguous,east_asian_name,0.5622,,,China,,
icpc_luyi_mo_2011,Luyi Mo,icpc_world_finals_gold,ambiguous,east_asian_name,0.5546,,,China,,
icpc_zejun_wu_2011,Zejun Wu,icpc_world_finals_gold,ambiguous,east_asian_name,0.5584,,,China,,
icpc_eugeny_kapun_2012,Eugeny Kapun,icpc_world_finals_gold,male,high,0.5995,,,Russia,,
icpc_mikhail_kever_2012,Mikhail Kever,icpc_world_finals_gold,male,high,0.6132,,,Russia,,
icpc_niyaz_nigmatullin_2012,Niyaz Nigmatullin,icpc_world_finals_gold,ambiguous,unknown_to_detector,0.7347,,,Russia,,
icpc_gennady_korotkevich_2013,Gennady Korotkevich,icpc_world_finals_gold,male,high,0.6581,,,Russia,,
icpc_mikhail_kever_2013,Mikhail Kever,icpc_world_finals_gold,male,high,0.6232,,,Russia,,
icpc_niyaz_nigmatullin_2013,Niyaz Nigmatullin,icpc_world_finals_gold,ambiguous,unknown_to_detector,0.6646,,,Russia,,
icpc_dmitry_egorov_2014,Dmitry Egorov,icpc_world_finals_gold,male,high,0.5465,,,Russia,,
icpc_egor_suvorov_2014,Egor Suvorov,icpc_world_finals_gold,male,high,0.6319,,,Russia,,
icpc_pavel_kunyavskiy_2014,Pavel Kunyavskiy,icpc_world_finals_gold,male,high,0.6704,,,Russia,,
icpc_artem_vasilyev_2015,Artem Vasilyev,icpc_world_finals_gold,male,high,0.5743,,,Russia,,
icpc_borys_minaiev_2015,Borys Minaiev,icpc_world_finals_gold,male,high,0.6332,,,Russia,,
icpc_gennady_korotkevich_2015,Gennady Korotkevich,icpc_world_finals_gold,male,high,0.6624,,,Russia,,
gpt5_aidan_mclaughlin,Aidan McLaughlin,gpt5_system_card_author,male,high,0.0105,,,USA,,
gpt5_alec_helyar,Alec Helyar,gpt5_system_card_author,male,high,0.0719,,,USA,,
gpt5_alex_karpenko,Alex Karpenko,gpt5_system_card_author,male,high,0.0076,,,USA,,
gpt5_alexey_ivanov,Alexey Ivanov,gpt5_system_card_author,male,high,0.0011,,,USA,,
gpt5_alyssa_huang,Alyssa Huang,gpt5_system_card_author,ambiguous,east_asian_name,0.013,,,USA,,
gpt5_andrei_gheorghe,Andrei Gheorghe,gpt5_system_card_author,male,high,0.0062,,,USA,,
gpt5_andrey_mishchenko,Andrey Mishchenko,gpt5_system_card_author,male,high,0.0362,,,USA,,
gpt5_anubha_srivastava,Anubha Srivastava,gpt5_system_card_author,ambiguous,unknown_to_detector,0.0416,,,USA,,
gpt5_ben_eggers,Ben Eggers,gpt5_system_card_author,male,high,0.053,,,USA,,
gpt5_borys_minaiev,Borys Minaiev,gpt5_system_card_author,male,high,0.0911,,,USA,,
gpt5_brendan_quinn,Brendan Quinn,gpt5_system_card_author,male,high,0.0197,,,USA,,
gpt5_brittany_brenner,Brittany Brenner,gpt5_system_card_author,female,high,0.0054,,,USA,,
gpt5_cedric_whitney,Cedric Whitney,gpt5_system_card_author,male,high,0.0695,,,USA,,
gpt5_chen_shen,Chen Shen,gpt5_system_card_author,ambiguous,east_asian_name,0.0265,,,USA,,
gpt5_christina_kaplan,Christina Kaplan,gpt5_system_card_author,female,high,0.0243,,,USA,,
gpt5_colin_reid,Colin Reid,gpt5_system_card_author,male,high,0.0243,,,USA,,
gpt5_da_tang,Da Tang,gpt5_system_card_author,ambiguous,east_asian_name,0.0076,,,USA,,
gpt5_daniel_wright,Daniel Wright,gpt5_system_card_author,male,high,0.0362,,,USA,,
gpt5_derek_lim,Derek Lim,gpt5_system_card_author,ambiguous,east_asian_name,0.0327,,,USA,,
gpt5_dj_strouse,DJ Strouse,gpt5_system_card_author,ambiguous,unknown_to_detector,0.0686,,,USA,,
gpt5_elaine_ya_le,Elaine Ya Le,gpt5_system_card_author,ambiguous,east_asian_name,0.0076,,,USA,,
gpt5_eri_schwartz,Eri Schwartz,gpt5_system_card_author,female,high,0.0219,,,USA,,
gpt5_erik_ritter,Erik Ritter,gpt5_system_card_author,male,high,0.0186,,,USA,,
gpt5_filipe_de_avila_belbute_peres,Filipe de Avila Belbute Peres,gpt5_system_card_author,male,high,0.0978,,,USA,,
gpt5_francis_zhang,Francis Zhang,gpt5_system_card_author,ambiguous,east_asian_name,0.0249,,,USA,,
gpt5_gildas_chabot,Gildas Chabot,gpt5_system_card_author,male,medium,0.0011,,,USA,,
gpt5_hanson_wang,Hanson Wang,gpt5_system_card_author,ambiguous,east_asian_name,0.0373,,,USA,,
gpt5_heather_schmidt,Heather Schmidt,gpt5_system_card_author,female,high,0.0024,,,USA,,
gpt5_ian_kivlichan,Ian Kivlichan,gpt5_system_card_author,male,high,0.123,,,USA,,
gpt5_ilge_akkaya,Ilge Akkaya,gpt5_system_card_author,ambiguous,unknown_to_detector,0.1273,,,USA,,
gpt5_jacob_huh,Jacob Huh,gpt5_system_card_author,male,high,0.0184,,,USA,,
gpt5_jamie_kiros,Jamie Kiros,gpt5_system_card_author,female,medium,0.0881,,,USA,,
gpt5_jay_wang,Jay Wang,gpt5_system_card_author,ambiguous,east_asian_name,0.0011,,,USA,,
gpt5_jerene_yang,Jerene Yang,gpt5_system_card_author,ambiguous,east_asian_name,0.0535,,,USA,,
gpt5_jiancheng_liu,Jiancheng Liu,gpt5_system_card_author,ambiguous,east_asian_name,0.0241,,,USA,,
gpt5_joey_flynn,Joey Flynn,gpt5_system_card_author,male,high,0.0395,,,USA,,
gpt5_jonathan_chien,Jonathan Chien,gpt5_system_card_author,male,high,0.0454,,,USA,,
gpt5_joseph_mo,Joseph Mo,gpt5_system_card_author,ambiguous,east_asian_name,0.0076,,,USA,,
gpt5_julie_steele,Julie Steele,gpt5_system_card_author,female,high,0.1162,,,USA,,
gpt5_kamyar_salahi,Kamyar Salahi,gpt5_system_card_author,ambiguous,unknown_to_detector,0.0476,,,USA,,
gpt5_kenny_nguyen,Kenny Nguyen,gpt5_system_card_author,ambiguous,east_asian_name,0.0076,,,USA,,
gpt5_kristen_ying,Kristen Ying,gpt5_system_card_author,ambiguous,east_asian_name,0.0395,,,USA,,
gpt5_larry_lv,Larry Lv,gpt5_system_card_author,ambiguous,east_asian_name,0.0151,,,USA,,
gpt5_leah_anise,Leah Anise,gpt5_system_card_author,female,high,0.0227,,,USA,,
gpt5_li_jing,Li Jing,gpt5_system_card_author,ambiguous,east_asian_name,0.0397,,,USA,,
gpt5_lindsey_held,Lindsey Held,gpt5_system_card_author,female,medium,0.0616,,,USA,,
gpt5_lucas_switzer,Lucas Switzer,gpt5_system_card_author,male,high,0.0081,,,USA,,
gpt5_manuka_stratta,Manuka Stratta,gpt5_system_card_author,ambiguous,unknown_to_detector,0.0189,,,USA,,
gpt5_marvin_zhang,Marvin Zhang,gpt5_system_card_author,ambiguous,east_asian_name,0.0654,,,USA,,
gpt5_meghan_shah,Meghan Shah,gpt5_system_card_author,female,high,0.0219,,,USA,,
gpt5_micah_carroll,Micah Carroll,gpt5_system_card_author,male,high,0.1197,,,USA,,
gpt5_michelle_pokrass,Michelle Pokrass,gpt5_system_card_author,female,high,0.0746,,,USA,,
gpt5_minnia_feng,Minnia Feng,gpt5_system_card_author,ambiguous,east_asian_name,0.0346,,,USA,,
gpt5_natalie_staudacher,Natalie Staudacher,gpt5_system_card_author,female,high,0.02,,,USA,,
gpt5_nicklas_ansman,Nicklas Ansman,gpt5_system_card_author,male,high,0.0703,,,USA,,
