entity_id,entity_name,cohort,n_models,namerank,namerank_sd,refusal_rate,embedding_sim_mean
msra_jun_hong_2008,Jun Hong,msra_phd_fellowship,36,0.0,,0.639,0.546
gpt5_alexey_ivanov,Alexey Ivanov,gpt5_system_card_author,36,0.0,,0.722,0.547
msra_gang_yu_2011,Gang Yu,msra_phd_fellowship,36,0.1111,,0.528,0.565
oa_paper_dimensions_of_digital_literacy_in_the_21st_century,Dimensions of Digital Literacy in the 21st Century Competency Frameworks,long_tail_paper,36,0.0278,,0.528,0.663
cmo_wang_quan_2012,Wang Quan (王权),cmo_china_gold,36,0.0,,0.75,0.512
cmo_liu_siyu_2012,Liu Siyu (刘思雨),cmo_china_gold,36,0.0278,,0.667,0.55
rhodes_2017_nicole_a_mihelson,Nicole A. Mihelson,rhodes_scholar,36,0.0278,,0.722,0.439
msra_jun_zhang_2013,Jun Zhang,msra_phd_fellowship,36,0.0556,,0.667,0.504
ikp_t67_aashaka_shah,Aashaka Shah,long_tail_researcher_ikp,36,0.0,,0.611,0.55
msra_tomoaki_higo_2008,Tomoaki Higo,msra_phd_fellowship,36,0.0556,,0.5,0.558
oa_paper_intelligent_mobile_malware_detection_using_permiss,Intelligent mobile malware detection using permission requests and API calls,long_tail_paper,36,0.0278,,0.472,0.681
ikp_t67_sylvie_dujardin,Sylvie Dujardin,long_tail_researcher_ikp,36,0.0,,0.75,0.483
rhodes_2017_sarah_a_waltcher,Sarah A. Waltcher,rhodes_scholar,36,0.0833,,0.667,0.47
oa_paper_role_of_health_literacy_in_health_related_informat,Role of Health Literacy in Health-Related Information-Seeking Behavior Online: Cross-sectional Study,long_tail_paper,36,0.0278,,0.361,0.733
oa_paper_fast_two_stage_phasing_of_large_scale_sequence_dat,Fast two-stage phasing of large-scale sequence data,long_tail_paper,36,0.0833,,0.556,0.666
oa_paper_a_photonphoton_quantum_gate_based_on_a_single_atom,A photon–photon quantum gate based on a single atom in an optical resonator,long_tail_paper,36,0.4167,,0.194,0.793
msra_ping_chen_2010,Ping Chen,msra_phd_fellowship,36,0.0278,,0.694,0.51
imo_felix_drxler,Felix Dräxler,imo_gold,36,0.0556,,0.528,0.664
mid_tier_book_memorial,Memorial,mid_tier_book,36,0.7222,,0.083,0.759
csrankings_riad_wahby,Riad Wahby,cs_faculty,36,0.5833,,0.222,0.773
oa_paper_variational_convolutional_neural_network_pruning,Variational Convolutional Neural Network Pruning,long_tail_paper,36,0.0833,,0.528,0.664
putnam_yuan_yao,Yuan Yao,putnam_fellow,36,0.3056,,0.417,0.661
rhodes_2017_spencer_d_dunleavy,Spencer D. Dunleavy,rhodes_scholar,36,0.0556,,0.75,0.425
ds_ying_tang,Ying Tang,deepseek_v3_author,36,0.0,,0.667,0.547
cmo_zhou_yiwen_2009,Zhou Yiwen (周意闻),cmo_china_gold,36,0.0,,0.778,0.497
putnam_ravi_jagadeesan,Ravi Jagadeesan,putnam_fellow,36,0.4167,,0.222,0.77
oa_paper_big_data_methods,Big Data Methods,long_tail_paper,36,0.0278,,0.639,0.592
oa_paper_proceedings_of_the_national_conference_on_artifici,Proceedings of the National Conference on Artificial Intelligence,long_tail_paper,36,0.0556,,0.444,0.564
artifact_deepseek_vl_paper,DeepSeek-VL paper,research_paper,36,0.0,,0.111,0.68
msra_pinyan_lu_2008,Pinyan Lu,msra_phd_fellowship,36,0.5833,,0.306,0.627
oa_paper_pull_based_load_distribution_in_large_scale_hetero,Pull-based load distribution in large-scale heterogeneous service systems,long_tail_paper,36,0.1944,,0.444,0.685
ioi_david_klaska,David Klaska,ioi_gold,36,0.0,,0.528,0.639
ikp_t67_jeongkeun_lee,Jeongkeun Lee,long_tail_researcher_ikp,36,0.3889,,0.278,0.746
mid_tier_writer_darren_defrain,Darren DeFrain,mid_tier_writer,36,0.4444,,0.333,0.656
ikp_t67_jeffrey_helt,Jeffrey Helt,long_tail_researcher_ikp,36,0.0833,,0.611,0.59
mid_tier_actor_eugenia_gilbert,Eugenia Gilbert,mid_tier_actor,36,0.4167,,0.389,0.609
oa_paper_spatial_distribution_ecological_risk_and_sources_o,"Spatial distribution, ecological risk and sources of heavy metals in soils from a typical economic development area, Southeastern China",long_tail_paper,36,0.0278,,0.444,0.702
ikp_t67_nariyoshi_chida,Nariyoshi Chida,long_tail_researcher_ikp,36,0.0278,,0.667,0.581
ikp_t67_habiba_abdulganiyu,Habiba Abdulganiyu,long_tail_researcher_ikp,36,0.0556,,0.639,0.578
msra_canyi_lu_2014,Canyi Lu,msra_phd_fellowship,36,0.4722,,0.333,0.623
cmo_li_hongyi_2010,Li Hongyi (李弘毅),cmo_china_gold,36,0.0,,0.583,0.576
imo_zarko_randelovi,Žarko Ranđelović,imo_gold,36,0.1111,,0.417,0.705
ds_ruoyu_zhang,Ruoyu Zhang,deepseek_v3_author,36,0.0278,,0.611,0.599
mid_tier_actor_jane_gilbert_actress,Jane Gilbert (actress),mid_tier_actor,36,0.1667,,0.389,0.554
cmo_li_yonghan_2009,Li Yonghan (黎永汉),cmo_china_gold,36,0.0556,,0.722,0.524
msra_bingjun_zhang_2009,Bingjun Zhang,msra_phd_fellowship,36,0.0,,0.667,0.509
ioi_robin_cheng,Robin Cheng,ioi_gold,36,0.0278,,0.417,0.616
csrankings_magdalena_balazinska,Magdalena Balazinska,cs_faculty,36,0.75,,0.028,0.844
mid_tier_architect_frank_dale_hudson,Frank Dale Hudson,mid_tier_architect,36,0.0833,,0.583,0.497
ioi_dong_gu_kang,Dong Gu Kang,ioi_gold,36,0.1389,,0.389,0.642
adam_fry,Adam Fry,reference_pilot,36,0.0278,,0.722,0.619
artifact_claude_3_7_sonnet,Claude 3.7 Sonnet,foundation_model,36,0.3889,,0.417,0.669
imo_georgios_vlachos,Georgios Vlachos,imo_gold,36,0.0833,,0.5,0.603
gpt5_tao_xin,Tao Xin,gpt5_system_card_author,36,0.0,,0.694,0.515
oa_paper_deep_learning_with_low_precision_by_half_wave_gaus,Deep Learning with Low Precision by Half-Wave Gaussian Quantization,long_tail_paper,36,0.3611,,0.472,0.694
cpho_xiao_xiangru_2009,Xiao Xiangru (肖相如),cpho_china_first_prize,36,0.0,,0.694,0.516
imo_un_song_ri,Un Song Ri,imo_gold,36,0.0278,,0.444,0.643
syn_cs_eskil_vrancken,Eskil Vrancken,synthetic_cs_faculty_v2,36,0.0,,0.528,0.608
imo_sanghun_song,Sanghun Song,imo_gold,36,0.1111,,0.472,0.625
ikp_t67_wenjia_cai,Wenjia Cai,long_tail_researcher_ikp,36,0.0278,,0.528,0.555
imo_chung_song_hong,Chung Song Hong,imo_gold,36,0.0556,,0.556,0.582
msra_jing_yuan_2011,Jing Yuan,msra_phd_fellowship,36,0.1389,,0.611,0.532
imo_rom_dudkiewicz,Rom Dudkiewicz,imo_gold,36,0.0556,,0.583,0.647
mid_tier_writer_lest_darkness_fall,Lest Darkness Fall,mid_tier_writer,36,0.6667,,0.222,0.76
gpt5_joseph_mo,Joseph Mo,gpt5_system_card_author,36,0.0,,0.639,0.561
artifact_qwen_paper,Qwen paper,research_paper,36,0.0,,0.056,0.723
syn_cs_halvar_mendigutia,Halvar Mendigutia,synthetic_cs_faculty_v2,36,0.0,,0.75,0.524
cpho_ye_gongcheng_2009,Ye Gongcheng (叶工程),cpho_china_first_prize,36,0.0,,0.694,0.521
imo_jihyon_pak,Jihyon Pak,imo_gold,36,0.0278,,0.472,0.624
ikp_t67_albert_gran_alcoz,Albert Gran Alcoz,long_tail_researcher_ikp,36,0.1944,,0.5,0.649
ds_shuiping_yu,Shuiping Yu,deepseek_v3_author,36,0.0556,,0.528,0.625
imo_jetze_zoethout,Jetze Zoethout,imo_gold,36,0.0556,,0.389,0.706
imo_tianyou_zhou,Tianyou Zhou,imo_gold,36,0.1667,,0.389,0.659
cmo_chen_jingwen_2012,Chen Jingwen (陈景文),cmo_china_gold,36,0.0,,0.694,0.52
noi_chen_jianfei_2009,Chen Jianfei (陈键飞),noi_china_gold,36,0.0278,,0.667,0.543
cpho_hu_qi_2009,Hu Qi (胡琦),cpho_china_first_prize,36,0.0556,,0.694,0.501
ikp_t67_andrew_litteken,Andrew Litteken,long_tail_researcher_ikp,36,0.0833,,0.5,0.605
noi_mao_xiao_2013,Mao Xiao (毛啸),noi_china_gold,36,0.2222,,0.528,0.617
msra_xiaoshuai_sun_2011,Xiaoshuai Sun,msra_phd_fellowship,36,0.1111,,0.556,0.551
msra_qing_wang_2021,Qing Wang,msra_phd_fellowship,36,0.0556,,0.694,0.545
imo_shutaro_inoue,Shutaro Inoue,imo_gold,36,0.0278,,0.444,0.633
csrankings_bogdan_vasilescu,Bogdan Vasilescu,cs_faculty,36,0.6389,,0.222,0.796
gpt5_eri_schwartz,Eri Schwartz,gpt5_system_card_author,36,0.0,,0.639,0.597
ioi_chao_li,Chao Li,ioi_gold,36,0.1389,,0.389,0.593
ioi_zhongtian_jiang,Zhongtian Jiang,ioi_gold,36,0.1111,,0.417,0.623
ds_zhean_xu,Zhean Xu,deepseek_v3_author,36,0.0556,,0.722,0.545
imo_radu_bumbacea,Radu Bumbăcea,imo_gold,36,0.1389,,0.389,0.717
oa_paper_biomarker_discovery_and_validation_statistical_con,Biomarker Discovery and Validation: Statistical Considerations,long_tail_paper,36,0.0,,0.694,0.628
noi_du_zhuofan_2013,Du Zhuofan (杜卓帆),noi_china_gold,36,0.0278,,0.556,0.585
imo_eric_larson,Eric Larson,imo_gold,36,0.5278,,0.25,0.71
cmo_zhang_kuan_2009,Zhang Kuan (张宽),cmo_china_gold,36,0.0,,0.722,0.515
cmo_jin_di_2012,Jin Di (金迪),cmo_china_gold,36,0.0278,,0.667,0.537
synthetic_noi_nie_qiongzhao,Nie Qiongzhao (聂穹肇),synthetic_noi_v2,36,0.0,,0.639,0.608
cmo_she_yiyang_2012,She Yiyang (佘毅阳),cmo_china_gold,36,0.0556,,0.556,0.604
msra_yikang_li_2018,Yikang Li,msra_phd_fellowship,36,0.1111,,0.583,0.564
oa_paper_on_the_training_of_a_neural_network_for_online_pat,On the training of a neural network for online path planning with offline path planning algorithms,long_tail_paper,36,0.0278,,0.5,0.671
cpho_chen_si_2009,Chen Si (陈思),cpho_china_first_prize,36,0.0,,0.694,0.553
syn_founder_marielys_caballenas,Marielys Caballenas,synthetic_founder_v2,36,0.0,,0.667,0.541
imo_jun_jie_joseph_kuan,Jun Jie Joseph Kuan,imo_gold,36,0.0556,,0.444,0.652
ds_yongqiang_guo,Yongqiang Guo,deepseek_v3_author,36,0.0556,,0.556,0.624
ikp_t67_dongbo_liu,Dongbo Liu,long_tail_researcher_ikp,36,0.0,,0.556,0.54
oa_paper_paradoxes_and_the_nature_of_ambidexterity_in_it_tr,Paradoxes and the Nature of Ambidexterity in IT Transformation Programs,long_tail_paper,36,0.1667,,0.472,0.729
cmo_cai_dean_2012,Cai De'an (蔡德安),cmo_china_gold,36,0.0278,,0.667,0.561
ds_guowei_li,Guowei Li,deepseek_v3_author,36,0.0278,,0.472,0.623
msra_huanhuan_cao_2009,Huanhuan Cao,msra_phd_fellowship,36,0.1944,,0.472,0.592
oa_paper_discrete_multimodal_hashing_with_canonical_views_f,Discrete Multimodal Hashing With Canonical Views for Robust Mobile Landmark Search,long_tail_paper,36,0.1389,,0.333,0.777
oa_paper_a_small_world_topology_enhances_the_echo_state_pro,A small-world topology enhances the echo state property and signal propagation in reservoir computing,long_tail_paper,36,0.1389,,0.167,0.833
artifact_triton,Triton,oss_project,36,0.8611,,0.083,0.823
msra_quan_fang_2013,Quan Fang,msra_phd_fellowship,36,0.1111,,0.556,0.545
mid_tier_writer_inez_asher,Inez Asher,mid_tier_writer,36,0.1111,,0.667,0.48
msra_yutao_liu_2014,Yutao Liu,msra_phd_fellowship,36,0.0833,,0.583,0.552
cmo_qi_bo_2010,Qi Bo (齐博),cmo_china_gold,36,0.0278,,0.639,0.531
mid_tier_actor_walton_goggins,Walton Goggins,mid_tier_actor,36,0.8889,,0.028,0.837
oa_paper_target_aware_deep_tracking,Target-Aware Deep Tracking,long_tail_paper,36,0.3889,,0.25,0.748
oa_paper_pointer_networks,Pointer networks,long_tail_paper,36,0.0,,0.083,0.6
csrankings_li_yang_tan,Li-Yang Tan,cs_faculty,36,0.5556,,0.25,0.752
csrankings_parastoo_abtahi,Parastoo Abtahi,cs_faculty,36,0.3056,,0.333,0.713
artifact_grok_4,Grok 4,foundation_model,36,0.1389,,0.528,0.652
msra_litian_tao_2009,Litian Tao,msra_phd_fellowship,36,0.0,,0.722,0.508
ikp_t67_tudor_mihai_stoenescu,Tudor Mihai Stoenescu,long_tail_researcher_ikp,36,0.0556,,0.528,0.615
imo_melih_ucer,Melih Üçer,imo_gold,36,0.0278,,0.444,0.625
syn_oss_glaivebench,Glaivebench,synthetic_oss_project_v2,36,0.0,,0.583,0.664
rhodes_2017_nancy_ko,Nancy Ko,rhodes_scholar,36,0.0833,,0.667,0.455
msra_yizhong_zhang_2012,Yizhong Zhang,msra_phd_fellowship,36,0.1111,,0.667,0.516
ds_shirong_ma,Shirong Ma,deepseek_v3_author,36,0.0556,,0.667,0.562
cmo_zhu_wenhuan_2010,Zhu Wenhuan (朱文宦),cmo_china_gold,36,0.0,,0.667,0.536
ikp_t67_brennon_brimhall,Brennon Brimhall,long_tail_researcher_ikp,36,0.0556,,0.5,0.614
oa_paper_nuclear_norm_based_matrix_regression_with_applicat,Nuclear Norm Based Matrix Regression with Applications to Face Recognition with Occlusion and Illumination Changes,long_tail_paper,36,0.3333,,0.278,0.771
cmo_liang_zhehui_2012,Liang Zhehui (梁喆晖),cmo_china_gold,36,0.0278,,0.722,0.538
syn_cs_vihaan_periswamy,Vihaan Periswamy,synthetic_cs_faculty_v2,36,0.0,,0.75,0.499
cpho_yan_mengyuan_2009,Yan Mengyuan (严梦媛),cpho_china_first_prize,36,0.0,,0.667,0.546
cmo_jin_zhaorong_2010,Jin Zhaorong (靳兆融),cmo_china_gold,36,0.0556,,0.667,0.53
cmo_wang_zhongjian_2012,Wang Zhongjian (王中剑),cmo_china_gold,36,0.0,,0.639,0.535
ikp_t67_heydar_shariatzadeh,Heydar Shariatzadeh,long_tail_researcher_ikp,36,0.0,,0.667,0.551
msra_xiaoyin_wang_2009,Xiaoyin Wang,msra_phd_fellowship,36,0.3056,,0.528,0.556
cmo_fu_jiaju_2009,Fu Jiaju (伏佳驹),cmo_china_gold,36,0.0,,0.778,0.504
rhodes_2016_garrett_lam,Garrett Lam,rhodes_scholar,36,0.0556,,0.639,0.44
msra_yu_chen_sun_2009,Yu-Chen Sun,msra_phd_fellowship,36,0.0,,0.639,0.524
cmo_chen_tianheng_2010,Chen Tianheng (陈天桁),cmo_china_gold,36,0.0,,0.722,0.536
ikp_t67_antonios_makris,Antonios Makris,long_tail_researcher_ikp,36,0.0,,0.444,0.561
ikp_t67_ben_herzberg,Ben Herzberg,long_tail_researcher_ikp,36,0.4444,,0.278,0.666
syn_cs_onnele_sjoberg,Onnele Sjöberg,synthetic_cs_faculty_v2,36,0.0,,0.694,0.541
msra_yohan_chon_2011,Yohan Chon,msra_phd_fellowship,36,0.1944,,0.472,0.595
ikp_t67_christian_faerber,Christian Faerber,long_tail_researcher_ikp,36,0.0556,,0.583,0.601
cmo_xu_ze_2009,Xu Ze (徐泽),cmo_china_gold,36,0.0,,0.722,0.516
msra_tae_hyun_oh_2015,Tae-Hyun Oh,msra_phd_fellowship,36,0.4167,,0.333,0.652
msra_xinying_song_2010,Xinying Song,msra_phd_fellowship,36,0.0556,,0.611,0.543
rhodes_2017_christa_grace_watkins,Christa Grace Watkins,rhodes_scholar,36,0.0278,,0.611,0.448
msra_xiaohui_bei_2011,Xiaohui Bei,msra_phd_fellowship,36,0.3611,,0.444,0.594
ikp_t67_sasi_kiran_suddarsi,Sasi Kiran Suddarsi,long_tail_researcher_ikp,36,0.0,,0.667,0.545
ikp_t67_shiyin_zhu,Shiyin Zhu,long_tail_researcher_ikp,36,0.0,,0.611,0.556
msra_yongtae_park_2014,Yongtae Park,msra_phd_fellowship,36,0.0,,0.667,0.51
artifact_openai_o1_paper,OpenAI o1 paper,research_paper,36,0.0,,0.306,0.705
mid_tier_writer_kathryn_adams_doty,Kathryn Adams Doty,mid_tier_writer,36,0.2222,,0.528,0.58
msra_florian_mueller_2008,Florian Mueller,msra_phd_fellowship,36,0.4167,,0.444,0.571
gpt5_jonathan_chien,Jonathan Chien,gpt5_system_card_author,36,0.0278,,0.667,0.579
cpho_he_zijian_2009,He Zijian (贺子剑),cpho_china_first_prize,36,0.0278,,0.667,0.504
cmo_lu_huanran_2009,Lu Huanran (卢焕然),cmo_china_gold,36,0.0278,,0.667,0.536
ds_ziwei_xie,Ziwei Xie,deepseek_v3_author,36,0.0556,,0.583,0.615
oa_paper_design_and_evaluation_of_algorithms_for_mapping_an,Design and evaluation of algorithms for mapping and scheduling of virtual network functions,long_tail_paper,36,0.1389,,0.333,0.691
msra_xiaojun_qian_2010,Xiaojun Qian,msra_phd_fellowship,36,0.0556,,0.639,0.513
gpt5_shaokyi_amdo,Shaokyi Amdo,gpt5_system_card_author,36,0.0,,0.778,0.503
oa_paper_medchain_efficient_healthcare_data_sharing_via_blo,MedChain: Efficient Healthcare Data Sharing via Blockchain,long_tail_paper,36,0.1389,,0.333,0.752
msra_hanzhi_wang_2022,Hanzhi Wang,msra_phd_fellowship,36,0.0833,,0.528,0.612
imo_mengxi_wu,Mengxi Wu,imo_gold,36,0.1111,,0.5,0.611
artifact_humane,Humane,ai_startup_or_company,36,0.7778,,0.056,0.849
gpt5_kristen_ying,Kristen Ying,gpt5_system_card_author,36,0.0,,0.722,0.558
gpt5_vivek_verma,Vivek Verma,gpt5_system_card_author,36,0.0,,0.667,0.561
oa_paper_social_acceptance_of_robots_in_different_occupatio,Social Acceptance of Robots in Different Occupational Fields: A Systematic Literature Review,long_tail_paper,36,0.1667,,0.472,0.667
ikp_t67_myung_hoon_sunwoo,Myung Hoon Sunwoo,long_tail_researcher_ikp,36,0.2778,,0.417,0.658
artifact_suno,Suno,ai_startup_or_company,36,0.8889,,0.028,0.886
cpho_jing_li_2009,Jing Li (靖礼),cpho_china_first_prize,36,0.0,,0.694,0.507
gpt5_roy_ziv,Roy Ziv,gpt5_system_card_author,36,0.0,,0.611,0.587
oa_paper_adaptive_rnn_tree_for_large_scale_human_action_rec,Adaptive RNN Tree for Large-Scale Human Action Recognition,long_tail_paper,36,0.3333,,0.444,0.698
msra_xiong_li_2010,Xiong Li,msra_phd_fellowship,36,0.0,,0.694,0.575
msra_yue_deng_2010,Yue Deng,msra_phd_fellowship,36,0.0833,,0.583,0.558
cmo_xu_jingcheng_2012,Xu Jingcheng (徐竟成),cmo_china_gold,36,0.0,,0.667,0.52
msra_feng_long_xie_2015,Feng-Long Xie,msra_phd_fellowship,36,0.0278,,0.694,0.529
artifact_phi_4,Phi-4,foundation_model,36,0.4722,,0.222,0.779
msra_sangwon_seo_2011,Sangwon Seo,msra_phd_fellowship,36,0.0556,,0.556,0.56
mid_tier_athlete_betty_hilton,Betty Hilton,mid_tier_athlete,36,0.1944,,0.556,0.555
gpt5_kamyar_salahi,Kamyar Salahi,gpt5_system_card_author,36,0.0278,,0.528,0.544
mid_tier_athlete_kathleen_horvath,Kathleen Horvath,mid_tier_athlete,36,0.5833,,0.222,0.738
msra_muoi_tran_2019,Muoi Tran,msra_phd_fellowship,36,0.1111,,0.611,0.557
oa_paper_mapping_photosynthesis_solely_from_solar_induced_c,"Mapping Photosynthesis Solely from Solar-Induced Chlorophyll Fluorescence: A Global, Fine-Resolution Dataset of Gross Primary Production Derived from ...",long_tail_paper,36,0.1667,,0.472,0.737
andrea_vallone,Andrea Vallone,reference_pilot,36,0.0833,,0.667,0.631
ikp_t67_changlin_wan,Changlin Wan,long_tail_researcher_ikp,36,0.1944,,0.556,0.61
putnam_benjamin_p_gunby,Benjamin P. Gunby,putnam_fellow,36,0.3333,,0.5,0.606
mid_tier_athlete_list_of_grand_slam_boys_doubles_champions,List of Grand Slam boys' doubles champions,mid_tier_athlete,36,0.4722,,0.306,0.691
mid_tier_writer_christopher_dow_author,Christopher Dow (author),mid_tier_writer,36,0.0833,,0.528,0.546
ikp_t67_zhengyu_he,Zhengyu He,long_tail_researcher_ikp,36,0.0,,0.528,0.584
msra_william_voorsluys_2009,William Voorsluys,msra_phd_fellowship,36,0.3056,,0.444,0.599
oa_paper_invariant_models_for_causal_transfer_learning,Invariant models for causal transfer learning,long_tail_paper,36,0.1944,,0.25,0.75
ds_yixuan_tan,Yixuan Tan,deepseek_v3_author,36,0.0556,,0.667,0.569
oa_paper_architectural_principles_for_cloud_software,Architectural Principles for Cloud Software,long_tail_paper,36,0.0556,,0.639,0.591
mid_tier_architect_clair_tisseur,Clair Tisseur,mid_tier_architect,36,0.3333,,0.5,0.584
oa_paper_variables_influencing_cryptocurrency_use_a_technol,Variables Influencing Cryptocurrency Use: A Technology Acceptance Model in Spain,long_tail_paper,36,0.1944,,0.306,0.75
pamela_vagata,Pamela Vagata,reference_pilot,36,0.3333,,0.278,0.733
artifact_switch_transformer_paper,Switch Transformer paper,research_paper,36,0.0,,0.056,0.62
noi_ru_yizhong_2012,Ru Yizhong (茹逸中),noi_china_gold,36,0.0556,,0.583,0.581
imo_ravi_jagadeeshan,Ravi Jagadeeshan,imo_gold,36,0.2222,,0.306,0.659
cmo_zeng_yulong_2009,Zeng Yulong (曾驭龙),cmo_china_gold,36,0.0,,0.667,0.534
oa_paper_dijkstras_and_a_star_in_finding_the_shortest_path_,Dijkstra's and A-Star in Finding the Shortest Path: a Tutorial,long_tail_paper,36,0.0278,,0.694,0.603
mid_tier_writer_geek_love,Geek Love,mid_tier_writer,36,0.5833,,0.306,0.703
gpt5_derek_lim,Derek Lim,gpt5_system_card_author,36,0.0556,,0.694,0.56
imo_yutao_liu,Yutao Liu,imo_gold,36,0.0833,,0.361,0.726
imo_jong_chol_kim,Jong Chol Kim,imo_gold,36,0.0278,,0.444,0.629
oa_paper_a_systematic_literature_review_of_21st_century_ski,A Systematic Literature Review of 21st Century Skills and Competencies in Primary Education,long_tail_paper,36,0.1389,,0.444,0.657
msra_yinpeng_dong_2019,Yinpeng Dong,msra_phd_fellowship,36,0.5278,,0.25,0.675
msra_dafan_dong_2008,Dafan Dong,msra_phd_fellowship,36,0.0,,0.75,0.491
cpho_jiang_peng_2009,Jiang Peng (姜鹏),cpho_china_first_prize,36,0.0,,0.722,0.498
ioi_sergey_fedorov,Sergey Fedorov,ioi_gold,36,0.1111,,0.528,0.564
imo_akio_kishikawa,Akio Kishikawa,imo_gold,36,0.0278,,0.472,0.687
oa_paper_low_altitude_unmanned_aerial_vehicles_based_intern,Low-Altitude Unmanned Aerial Vehicles-Based Internet of Things Services: Comprehensive Survey and Future Perspectives,long_tail_paper,36,0.1667,,0.472,0.679
oa_paper_comparison_and_sub_supersolution_principles_for_th,Comparison and sub-supersolution principles for the fractional p(x)-Laplacian,long_tail_paper,36,0.1111,,0.389,0.721
ds_xingkai_yu,Xingkai Yu,deepseek_v3_author,36,0.0556,,0.528,0.625
imo_nazar_serdyuk,Nazar Serdyuk,imo_gold,36,0.0833,,0.417,0.702
ikp_t67_xianran_xing,Xianran Xing,long_tail_researcher_ikp,36,0.0278,,0.694,0.536
putnam_omer_cerrahoglu,Omer Cerrahoglu,putnam_fellow,36,0.2778,,0.417,0.694
ikp_t67_eleonora_franchi_scarselli,Eleonora Franchi Scarselli,long_tail_researcher_ikp,36,0.1944,,0.528,0.636
oa_paper_proceedings_of_thirtieth_aaai_conference_on_artifi,Proceedings of Thirtieth AAAI Conference on Artificial Intelligence,long_tail_paper,36,0.0278,,0.222,0.663
mid_tier_writer_saou_ichikawa,Saou Ichikawa,mid_tier_writer,36,0.2778,,0.472,0.618
oa_paper_pruning_and_quantization_for_deep_neural_network_a,Pruning and quantization for deep neural network acceleration: A survey,long_tail_paper,36,0.1389,,0.5,0.694
msra_zili_meng_2020,Zili Meng,msra_phd_fellowship,36,0.25,,0.333,0.661
msra_zhiwei_xiong_2009,Zhiwei Xiong,msra_phd_fellowship,36,0.4167,,0.361,0.637
oa_paper_online_learning_and_emergency_remote_teaching_oppo,Online Learning and Emergency Remote Teaching: Opportunities and Challenges in Emergency Situations,long_tail_paper,36,0.0833,,0.444,0.712
gpt5_andrey_mishchenko,Andrey Mishchenko,gpt5_system_card_author,36,0.0556,,0.667,0.585
syn_imo_aslan_shyngyssov,Aslan Shyngyssov,synthetic_imo_gold_v2,36,0.0,,0.444,0.677
ds_peng_zhang,Peng Zhang,deepseek_v3_author,36,0.0278,,0.528,0.605
syn_founder_amitabh_nakshatri,Amitabh Nakshatri,synthetic_founder_v2,36,0.0,,0.694,0.543
oa_paper_contract_based_program_repair_without_the_contract,Contract-based program repair without the contracts,long_tail_paper,36,0.0833,,0.528,0.662
