entity_id,cohort,gold_chars,gold_words,gold_named_facts,gold_sentences
imo_borna_vukorepa,imo_gold,369,51,3,3
imo_egor_voronetckii,imo_gold,370,51,3,3
imo_andrey_volgin,imo_gold,367,51,3,3
imo_anh_dc_v,imo_gold,365,52,2,3
imo_tun_huy_phm,imo_gold,368,52,2,3
imo_thnh_trung_cn_trn,imo_gold,375,53,2,3
imo_matei_mandache,imo_gold,376,52,4,3
imo_alexander_gunning,imo_gold,374,51,3,3
imo_arek_bedroya,imo_gold,364,51,3,3
imo_dario_ascari,imo_gold,365,51,3,3
imo_chao_gu,imo_gold,360,51,3,3
imo_vadym_kalashnykov,imo_gold,372,51,3,3
imo_zarko_randelovi,imo_gold,370,51,2,3
icpc_bin_jin_2010,icpc_world_finals_gold,394,54,5,3
icpc_zhao_zheng_2010,icpc_world_finals_gold,397,54,5,3
icpc_zhuojie_wu_2010,icpc_world_finals_gold,397,54,5,3
icpc_jialin_ouyang_2011,icpc_world_finals_gold,390,52,5,3
icpc_luyi_mo_2011,icpc_world_finals_gold,384,52,5,3
icpc_zejun_wu_2011,icpc_world_finals_gold,385,52,5,3
icpc_eugeny_kapun_2012,icpc_world_finals_gold,389,53,5,4
icpc_mikhail_kever_2012,icpc_world_finals_gold,390,53,5,4
icpc_niyaz_nigmatullin_2012,icpc_world_finals_gold,394,53,5,4
icpc_gennady_korotkevich_2013,icpc_world_finals_gold,396,53,5,4
icpc_mikhail_kever_2013,icpc_world_finals_gold,390,53,5,4
icpc_niyaz_nigmatullin_2013,icpc_world_finals_gold,394,53,5,4
icpc_dmitry_egorov_2014,icpc_world_finals_gold,402,54,5,4
icpc_egor_suvorov_2014,icpc_world_finals_gold,401,54,5,4
icpc_pavel_kunyavskiy_2014,icpc_world_finals_gold,405,54,5,4
icpc_artem_vasilyev_2015,icpc_world_finals_gold,391,53,5,4
icpc_borys_minaiev_2015,icpc_world_finals_gold,390,53,5,4
icpc_gennady_korotkevich_2015,icpc_world_finals_gold,396,53,5,4
gpt5_aidan_mclaughlin,gpt5_system_card_author,442,65,3,3
gpt5_alec_helyar,gpt5_system_card_author,437,65,3,3
gpt5_alex_karpenko,gpt5_system_card_author,439,65,3,3
gpt5_alexey_ivanov,gpt5_system_card_author,439,65,3,3
gpt5_alyssa_huang,gpt5_system_card_author,438,65,3,3
gpt5_andrei_gheorghe,gpt5_system_card_author,441,65,3,3
gpt5_andrey_mishchenko,gpt5_system_card_author,443,65,3,3
gpt5_anubha_srivastava,gpt5_system_card_author,443,65,3,3
gpt5_ben_eggers,gpt5_system_card_author,436,65,3,3
gpt5_borys_minaiev,gpt5_system_card_author,439,65,3,3
gpt5_brendan_quinn,gpt5_system_card_author,439,65,3,3
gpt5_brittany_brenner,gpt5_system_card_author,442,65,3,3
gpt5_cedric_whitney,gpt5_system_card_author,440,65,3,3
gpt5_chen_shen,gpt5_system_card_author,435,65,3,3
gpt5_christina_kaplan,gpt5_system_card_author,442,65,3,3
gpt5_colin_reid,gpt5_system_card_author,436,65,3,3
gpt5_da_tang,gpt5_system_card_author,433,65,3,3
gpt5_daniel_wright,gpt5_system_card_author,439,65,3,3
gpt5_derek_lim,gpt5_system_card_author,435,65,3,3
gpt5_dj_strouse,gpt5_system_card_author,436,65,3,3
gpt5_elaine_ya_le,gpt5_system_card_author,438,66,3,3
gpt5_eri_schwartz,gpt5_system_card_author,438,65,3,3
gpt5_erik_ritter,gpt5_system_card_author,437,65,3,3
gpt5_filipe_de_avila_belbute_peres,gpt5_system_card_author,455,68,3,3
gpt5_francis_zhang,gpt5_system_card_author,439,65,3,3
gpt5_gildas_chabot,gpt5_system_card_author,439,65,3,3
gpt5_hanson_wang,gpt5_system_card_author,437,65,3,3
gpt5_heather_schmidt,gpt5_system_card_author,441,65,3,3
gpt5_ian_kivlichan,gpt5_system_card_author,439,65,3,3
gpt5_ilge_akkaya,gpt5_system_card_author,437,65,3,3
gpt5_jacob_huh,gpt5_system_card_author,435,65,3,3
gpt5_jamie_kiros,gpt5_system_card_author,437,65,3,3
gpt5_jay_wang,gpt5_system_card_author,434,65,3,3
gpt5_jerene_yang,gpt5_system_card_author,437,65,3,3
gpt5_jiancheng_liu,gpt5_system_card_author,439,65,3,3
gpt5_joey_flynn,gpt5_system_card_author,436,65,3,3
gpt5_jonathan_chien,gpt5_system_card_author,440,65,3,3
gpt5_joseph_mo,gpt5_system_card_author,435,65,3,3
gpt5_julie_steele,gpt5_system_card_author,438,65,3,3
gpt5_kamyar_salahi,gpt5_system_card_author,439,65,3,3
gpt5_kenny_nguyen,gpt5_system_card_author,438,65,3,3
gpt5_kristen_ying,gpt5_system_card_author,438,65,3,3
gpt5_larry_lv,gpt5_system_card_author,434,65,3,3
gpt5_leah_anise,gpt5_system_card_author,436,65,3,3
gpt5_li_jing,gpt5_system_card_author,433,65,3,3
gpt5_lindsey_held,gpt5_system_card_author,438,65,3,3
gpt5_lucas_switzer,gpt5_system_card_author,439,65,3,3
gpt5_manuka_stratta,gpt5_system_card_author,440,65,3,3
gpt5_marvin_zhang,gpt5_system_card_author,438,65,3,3
gpt5_meghan_shah,gpt5_system_card_author,437,65,3,3
gpt5_micah_carroll,gpt5_system_card_author,439,65,3,3
gpt5_michelle_pokrass,gpt5_system_card_author,442,65,3,3
gpt5_minnia_feng,gpt5_system_card_author,437,65,3,3
gpt5_natalie_staudacher,gpt5_system_card_author,444,65,3,3
gpt5_nicklas_ansman,gpt5_system_card_author,440,65,3,3
gpt5_nishant_rai,gpt5_system_card_author,437,65,3,3
gpt5_olivia_watkins,gpt5_system_card_author,440,65,3,3
gpt5_peter_zhokhov,gpt5_system_card_author,439,65,3,3
gpt5_qinghua_liu,gpt5_system_card_author,437,65,3,3
gpt5_reah_miyara,gpt5_system_card_author,437,65,3,3
gpt5_rohan_kshirsagar,gpt5_system_card_author,442,65,3,3
gpt5_roy_ziv,gpt5_system_card_author,433,65,3,3
gpt5_sam_arnesen,gpt5_system_card_author,437,65,3,3
gpt5_savannah_heon,gpt5_system_card_author,439,65,3,3
gpt5_shaokyi_amdo,gpt5_system_card_author,438,65,3,3
gpt5_shreyas_krishnaswamy,gpt5_system_card_author,446,65,3,3
gpt5_simon_tobin,gpt5_system_card_author,437,65,3,3
gpt5_spug_golden,gpt5_system_card_author,437,65,3,3
gpt5_sulman_choudhry,gpt5_system_card_author,441,65,3,3
gpt5_tao_xin,gpt5_system_card_author,433,65,3,3
gpt5_thomas_shadwell,gpt5_system_card_author,441,65,3,3
gpt5_tomek_korbak,gpt5_system_card_author,438,65,3,3
gpt5_troy_peterson,gpt5_system_card_author,439,65,3,3
gpt5_vivek_verma,gpt5_system_card_author,437,65,3,3
gpt5_wenting_zhan,gpt5_system_card_author,438,65,3,3
gpt5_xiangning_chen,gpt5_system_card_author,440,65,3,3
gpt5_yara_khakbaz,gpt5_system_card_author,438,65,3,3
gpt5_yizhong_xiong,gpt5_system_card_author,439,65,3,3
gpt5_yuanzhi_li,gpt5_system_card_author,436,65,3,3
gpt5_yushi_wang,gpt5_system_card_author,436,65,3,3
ioi_gennady_korotkevich,ioi_gold,541,71,4,4
ioi_rumen_hristov,ioi_gold,536,71,4,4
ioi_adrian_jaskoka,ioi_gold,524,69,3,4
ioi_wenyu_cao,ioi_gold,521,70,4,4
ioi_michael_cohen,ioi_gold,519,69,4,4
ioi_robin_cheng,ioi_gold,520,69,4,4
ioi_tsotne_tabidze,ioi_gold,524,69,4,4
ioi_david_klaska,ioi_gold,529,70,5,4
ioi_shogo_murai,ioi_gold,531,71,4,4
ioi_qiwei_feng,ioi_gold,518,69,4,4
ioi_luhang_lai,ioi_gold,518,69,4,4
ioi_pasin_manurangsi,ioi_gold,533,70,4,4
ioi_neal_wu,ioi_gold,513,69,4,4
ioi_simon_burger,ioi_gold,522,69,3,4
ioi_ivica_kici,ioi_gold,527,70,3,4
ioi_hynek_jemelik,ioi_gold,530,70,4,4
ioi_masaki_hara,ioi_gold,519,69,4,4
ioi_vladislav_haralampiev,ioi_gold,532,69,4,4
ioi_fabian_gundlach,ioi_gold,525,69,4,4
ioi_aurick_qiao,ioi_gold,520,69,4,4
ioi_ting_wei_chen,ioi_gold,522,69,4,4
ioi_dong_gu_kang,ioi_gold,520,70,4,4
ioi_mikhail_pyaderkin,ioi_gold,526,69,4,4
ioi_raymond_kang_seng_ing,ioi_gold,539,72,4,4
ioi_ali_babaei_chshmehahmadrezaei,ioi_gold,536,70,4,4
ioi_sergey_fedorov,ioi_gold,523,69,4,4
ioi_haoqiang_fan,ioi_gold,520,69,4,4
ioi_felipe_abella_cavalcante_mendonca_de_souza,ioi_gold,551,73,4,4
ioi_pavel_kunyavskiy,ioi_gold,525,69,4,4
ioi_alexander_timin,ioi_gold,524,69,4,4
ioi_erjin_zhou,ioi_gold,518,69,4,4
ioi_jan_kanty_milczek,ioi_gold,526,70,4,4
ioi_paul_kirchner,ioi_gold,522,69,4,4
ioi_zhongtian_jiang,ioi_gold,523,69,4,4
ioi_jui_min_lee,ioi_gold,520,69,4,4
ioi_ivan_katani,ioi_gold,522,69,3,4
ioi_johnny_ho,ioi_gold,521,70,4,4
ioi_albert_gu,ioi_gold,515,69,4,4
ioi_shih_wei_liu,ioi_gold,521,69,4,4
ioi_baris_kaya,ioi_gold,520,69,3,4
ioi_eduards_kaliicenko,ioi_gold,528,69,3,4
ioi_linh_vuong_nguyen,ioi_gold,527,70,4,4
ioi_sorawit_suriyakarn,ioi_gold,529,69,4,4
ioi_meng_huan_yu,ioi_gold,521,69,4,4
ioi_gustav_matula,ioi_gold,523,69,4,4
ioi_piotr_karol_bejda,ioi_gold,526,70,4,4
ioi_yuzhou_gu,ioi_gold,517,69,4,4
ioi_egor_suvorov,ioi_gold,521,69,4,4
ioi_chao_li,ioi_gold,515,69,4,4
ioi_adrian_budau,ioi_gold,522,69,3,4
ioi_karol_farbi,ioi_gold,521,69,3,4
ioi_maxim_akhmedov,ioi_gold,523,69,4,4
ioi_mitchell_lee,ioi_gold,518,69,4,4
ioi_peilin_zhong,ioi_gold,520,69,4,4
ioi_eduard_batmendijn,ioi_gold,528,69,4,4
ioi_bumsoo_park,ioi_gold,519,69,4,4
ioi_yuqing_ai,ioi_gold,517,69,4,4
ioi_vlad_alexandru_gavrila,ioi_gold,532,70,4,4
ioi_oleg_ivanov,ioi_gold,520,69,4,4
ioi_simon_lindholm,ioi_gold,523,69,4,4
ioi_marin_tomic,ioi_gold,521,69,4,4
ioi_saeed_ilchi_ghazan,ioi_gold,525,70,4,4
ioi_alexey_gordeev,ioi_gold,523,69,4,4
ioi_sergii_nagin,ioi_gold,522,69,4,4
ioi_scott_wu,ioi_gold,514,69,4,4
ioi_adam_bardashevich,ioi_gold,527,69,4,4
ioi_seyed_hamed_valizadehtoosi,ioi_gold,533,70,4,4
ioi_rare_darius_buhai,ioi_gold,528,70,4,4
putnam_yu_deng,putnam_fellow,496,74,6,3
putnam_colin_p_sandon,putnam_fellow,504,75,5,4
putnam_alex_lin_zhai,putnam_fellow,502,75,6,3
putnam_seok_hyeong_lee,putnam_fellow,510,76,6,3
putnam_bohua_zhan,putnam_fellow,499,74,6,3
putnam_samuel_s_elder,putnam_fellow,504,75,5,4
putnam_evan_m_odorney,putnam_fellow,505,75,5,4
putnam_xiaosheng_mu,putnam_fellow,501,74,6,3
putnam_brian_r_lawrence,putnam_fellow,506,75,5,4
putnam_benjamin_p_gunby,putnam_fellow,506,75,5,4
putnam_eric_k_larson,putnam_fellow,503,75,5,4
putnam_mitchell_m_lee,putnam_fellow,510,76,5,4
putnam_zipei_nie,putnam_fellow,504,75,6,3
putnam_bobby_c_shen,putnam_fellow,508,76,5,4
putnam_david_h_yang,putnam_fellow,508,76,5,4
putnam_ravi_jagadeesan,putnam_fellow,510,75,6,3
putnam_mark_a_sellke,putnam_fellow,503,75,5,4
putnam_lingfu_zhang,putnam_fellow,501,74,6,3
putnam_yunkun_zhou,putnam_fellow,524,78,6,3
putnam_pakawut_jiradilok,putnam_fellow,506,74,6,3
putnam_bumsoo_kim,putnam_fellow,499,74,6,3
putnam_gyujin_oh,putnam_fellow,498,74,6,3
putnam_daniel_spivak,putnam_fellow,502,74,6,3
putnam_joshua_d_brakensiek,putnam_fellow,509,75,5,4
putnam_dong_ryul_kim,putnam_fellow,518,77,6,3
putnam_thomas_e_swayze,putnam_fellow,505,75,5,4
putnam_samuel_zbarsky,putnam_fellow,503,74,6,3
putnam_omer_cerrahoglu,putnam_fellow,510,75,6,3
putnam_jiyang_gao,putnam_fellow,505,75,6,3
putnam_junyao_peng,putnam_fellow,506,75,6,3
putnam_ashwin_sah,putnam_fellow,505,75,6,3
putnam_david_stoner,putnam_fellow,517,76,6,3
putnam_shyam_narayanan,putnam_fellow,514,75,6,3
putnam_yuan_yao,putnam_fellow,503,75,6,3
putnam_shengtong_zhang,putnam_fellow,510,75,6,3
rhodes_2016_grace_huckins,rhodes_scholar,415,58,4,3
rhodes_2016_garrett_lam,rhodes_scholar,413,58,4,3
rhodes_2016_neil_alacha,rhodes_scholar,413,58,4,3
rhodes_2016_rivka_hyland,rhodes_scholar,414,58,4,3
rhodes_2016_hassaan_shahawy,rhodes_scholar,417,58,4,3
rhodes_2017_joshua_b_pickar,rhodes_scholar,475,72,3,4
rhodes_2017_maia_silber,rhodes_scholar,470,71,4,3
rhodes_2017_sarah_a_waltcher,rhodes_scholar,476,72,3,4
rhodes_2017_laura_a_courchesne,rhodes_scholar,478,72,3,4
rhodes_2017_nancy_ko,rhodes_scholar,467,71,4,3
rhodes_2017_noah_remnick,rhodes_scholar,471,71,4,3
rhodes_2017_spencer_d_dunleavy,rhodes_scholar,478,72,3,4
rhodes_2017_meghan_m_shea,rhodes_scholar,473,72,3,4
rhodes_2017_cameron_d_clarke,rhodes_scholar,476,72,3,4
rhodes_2017_aryn_a_frazier,rhodes_scholar,474,72,3,4
rhodes_2017_james_c_pavur,rhodes_scholar,473,72,3,4
rhodes_2017_jory_m_fleming,rhodes_scholar,474,72,3,4
rhodes_2017_lucinda_m_ford,rhodes_scholar,474,72,3,4
rhodes_2017_christian_e_nattiel,rhodes_scholar,479,72,3,4
rhodes_2017_kirk_p_smith,rhodes_scholar,472,72,3,4
rhodes_2017_mikaila_v_smith,rhodes_scholar,475,72,3,4
rhodes_2017_morgan_k_mohr,rhodes_scholar,473,72,3,4
rhodes_2017_christa_grace_watkins,rhodes_scholar,480,72,4,3
rhodes_2017_olivia_a_klevorn,rhodes_scholar,476,72,3,4
rhodes_2017_pasquale_s_toscano,rhodes_scholar,478,72,3,4
rhodes_2017_aaron_c_robertson,rhodes_scholar,477,72,3,4
rhodes_2017_ahmed_m_ahmed,rhodes_scholar,473,72,3,4
rhodes_2017_lauren_c_jackson,rhodes_scholar,476,72,3,4
rhodes_2017_shegufta_a_huma,rhodes_scholar,475,72,3,4
rhodes_2017_hannah_k_carrese,rhodes_scholar,476,72,3,4
rhodes_2017_joshua_carter,rhodes_scholar,472,71,4,3
rhodes_2017_pema_m_mclaughlin,rhodes_scholar,477,72,3,4
rhodes_2017_alexis_a_doyle,rhodes_scholar,474,72,3,4
rhodes_2017_nicole_a_mihelson,rhodes_scholar,477,72,3,4
rhodes_2017_caylin_l_moore,rhodes_scholar,474,72,3,4
rhodes_2017_anthony_wilder_l_wohns,rhodes_scholar,482,73,4,4
msra_hanzhi_wang_2022,msra_phd_fellowship,514,71,6,3
msra_haotian_li_2022,msra_phd_fellowship,533,74,6,3
msra_heecheol_kim_2022,msra_phd_fellowship,508,70,5,3
msra_kun_zhou_2022,msra_phd_fellowship,511,71,6,3
msra_linfeng_zhang_2022,msra_phd_fellowship,509,69,6,3
msra_ruyi_ji_2022,msra_phd_fellowship,501,69,6,3
msra_wenjing_wang_2022,msra_phd_fellowship,506,69,6,3
msra_xuanhe_zhou_2022,msra_phd_fellowship,507,69,6,3
msra_yuji_roh_2022,msra_phd_fellowship,490,68,5,3
msra_yulin_wang_2022,msra_phd_fellowship,506,69,6,3
msra_yuqi_li_2022,msra_phd_fellowship,525,73,6,3
msra_ze_liu_2022,msra_phd_fellowship,528,74,5,3
msra_dianyu_chen_2021,msra_phd_fellowship,507,69,6,3
msra_kaizhang_kang_2021,msra_phd_fellowship,509,69,6,3
msra_libo_qin_2021,msra_phd_fellowship,515,71,6,3
msra_qing_wang_2021,msra_phd_fellowship,505,69,6,3
msra_aoyu_wu_2021,msra_phd_fellowship,530,74,6,3
msra_qitian_wu_2021,msra_phd_fellowship,515,71,6,3
msra_hiromu_yakura_2021,msra_phd_fellowship,511,70,5,3
msra_da_yu_2021,msra_phd_fellowship,504,70,6,3
msra_wangyou_zhang_2021,msra_phd_fellowship,519,71,6,3
msra_wanjun_zhong_2021,msra_phd_fellowship,511,70,6,3
msra_tiankuang_zhou_2021,msra_phd_fellowship,510,69,6,3
msra_sanghyun_woo_2020,msra_phd_fellowship,494,68,5,3
msra_hao_shu_fang_2020,msra_phd_fellowship,518,71,6,3
msra_daya_guo_2020,msra_phd_fellowship,507,70,6,3
msra_ling_pan_2020,msra_phd_fellowship,504,69,6,3
msra_sanghoon_kang_2020,msra_phd_fellowship,495,68,5,3
msra_juheon_yi_2020,msra_phd_fellowship,511,70,6,3
msra_mo_zou_2020,msra_phd_fellowship,512,71,6,3
msra_yangbangyan_jiang_2020,msra_phd_fellowship,535,73,6,3
msra_naoki_kimura_2020,msra_phd_fellowship,508,70,5,3
msra_tianyu_pang_2020,msra_phd_fellowship,507,69,6,3
msra_xu_han_2020,msra_phd_fellowship,502,69,6,3
msra_zili_meng_2020,msra_phd_fellowship,505,69,6,3
msra_shijie_cao_2019,msra_phd_fellowship,517,71,6,3
msra_zhenpeng_chen_2019,msra_phd_fellowship,507,69,6,3
msra_yinpeng_dong_2019,msra_phd_fellowship,508,69,6,3
msra_insu_han_2019,msra_phd_fellowship,490,68,5,3
msra_hirofumi_inaguma_2019,msra_phd_fellowship,509,69,6,3
msra_dahun_kim_2019,msra_phd_fellowship,491,68,5,3
msra_chao_liao_2019,msra_phd_fellowship,515,71,6,3
